Init E (V) = -0.04
High E (V) = 2.3
Low E (V) = -1
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 5
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

-0.040	-3.139e-3
-0.041	-3.071e-3
-0.042	-3.013e-3
-0.043	-2.958e-3
-0.044	-2.902e-3
-0.045	-2.853e-3
-0.046	-2.807e-3
-0.047	-2.761e-3
-0.048	-2.724e-3
-0.049	-2.684e-3
-0.050	-2.647e-3
-0.051	-2.613e-3
-0.052	-2.579e-3
-0.053	-2.548e-3
-0.054	-2.521e-3
-0.055	-2.490e-3
-0.056	-2.465e-3
-0.057	-2.441e-3
-0.058	-2.416e-3
-0.059	-2.395e-3
-0.060	-2.373e-3
-0.061	-2.352e-3
-0.062	-2.333e-3
-0.063	-2.315e-3
-0.064	-2.296e-3
-0.065	-2.278e-3
-0.066	-2.262e-3
-0.067	-2.247e-3
-0.068	-2.232e-3
-0.069	-2.219e-3
-0.070	-2.204e-3
-0.071	-2.192e-3
-0.072	-2.179e-3
-0.073	-2.167e-3
-0.074	-2.155e-3
-0.075	-2.146e-3
-0.076	-2.133e-3
-0.077	-2.124e-3
-0.078	-2.115e-3
-0.079	-2.106e-3
-0.080	-2.096e-3
-0.081	-2.087e-3
-0.082	-2.078e-3
-0.083	-2.069e-3
-0.084	-2.063e-3
-0.085	-2.053e-3
-0.086	-2.047e-3
-0.087	-2.038e-3
-0.088	-2.032e-3
-0.089	-2.026e-3
-0.090	-2.019e-3
-0.091	-2.013e-3
-0.092	-2.007e-3
-0.093	-2.001e-3
-0.094	-1.995e-3
-0.095	-1.989e-3
-0.096	-1.983e-3
-0.097	-1.976e-3
-0.098	-1.970e-3
-0.099	-1.964e-3
-0.100	-1.961e-3
-0.101	-1.955e-3
-0.102	-1.952e-3
-0.103	-1.949e-3
-0.104	-1.943e-3
-0.105	-1.939e-3
-0.106	-1.933e-3
-0.107	-1.930e-3
-0.108	-1.924e-3
-0.109	-1.921e-3
-0.110	-1.918e-3
-0.111	-1.915e-3
-0.112	-1.909e-3
-0.113	-1.906e-3
-0.114	-1.903e-3
-0.115	-1.899e-3
-0.116	-1.896e-3
-0.117	-1.893e-3
-0.118	-1.890e-3
-0.119	-1.887e-3
-0.120	-1.884e-3
-0.121	-1.881e-3
-0.122	-1.878e-3
-0.123	-1.875e-3
-0.124	-1.872e-3
-0.125	-1.869e-3
-0.126	-1.866e-3
-0.127	-1.863e-3
-0.128	-1.859e-3
-0.129	-1.856e-3
-0.130	-1.856e-3
-0.131	-1.853e-3
-0.132	-1.850e-3
-0.133	-1.847e-3
-0.134	-1.844e-3
-0.135	-1.841e-3
-0.136	-1.841e-3
-0.137	-1.838e-3
-0.138	-1.835e-3
-0.139	-1.832e-3
-0.140	-1.832e-3
-0.141	-1.829e-3
-0.142	-1.826e-3
-0.143	-1.823e-3
-0.144	-1.823e-3
-0.145	-1.820e-3
-0.146	-1.816e-3
-0.147	-1.816e-3
-0.148	-1.813e-3
-0.149	-1.813e-3
-0.150	-1.810e-3
-0.151	-1.807e-3
-0.152	-1.807e-3
-0.153	-1.804e-3
-0.154	-1.801e-3
-0.155	-1.801e-3
-0.156	-1.798e-3
-0.157	-1.798e-3
-0.158	-1.795e-3
-0.159	-1.792e-3
-0.160	-1.792e-3
-0.161	-1.789e-3
-0.162	-1.789e-3
-0.163	-1.786e-3
-0.164	-1.786e-3
-0.165	-1.783e-3
-0.166	-1.780e-3
-0.167	-1.780e-3
-0.168	-1.776e-3
-0.169	-1.776e-3
-0.170	-1.773e-3
-0.171	-1.770e-3
-0.172	-1.770e-3
-0.173	-1.767e-3
-0.174	-1.767e-3
-0.175	-1.764e-3
-0.176	-1.761e-3
-0.177	-1.761e-3
-0.178	-1.758e-3
-0.179	-1.758e-3
-0.180	-1.755e-3
-0.181	-1.752e-3
-0.182	-1.752e-3
-0.183	-1.749e-3
-0.184	-1.746e-3
-0.185	-1.746e-3
-0.186	-1.743e-3
-0.187	-1.740e-3
-0.188	-1.736e-3
-0.189	-1.736e-3
-0.190	-1.733e-3
-0.191	-1.730e-3
-0.192	-1.730e-3
-0.193	-1.727e-3
-0.194	-1.724e-3
-0.195	-1.721e-3
-0.196	-1.721e-3
-0.197	-1.718e-3
-0.198	-1.715e-3
-0.199	-1.712e-3
-0.200	-1.709e-3
-0.201	-1.709e-3
-0.202	-1.706e-3
-0.203	-1.703e-3
-0.204	-1.700e-3
-0.205	-1.696e-3
-0.206	-1.696e-3
-0.207	-1.693e-3
-0.208	-1.690e-3
-0.209	-1.687e-3
-0.210	-1.684e-3
-0.211	-1.681e-3
-0.212	-1.678e-3
-0.213	-1.675e-3
-0.214	-1.675e-3
-0.215	-1.672e-3
-0.216	-1.669e-3
-0.217	-1.666e-3
-0.218	-1.663e-3
-0.219	-1.660e-3
-0.220	-1.656e-3
-0.221	-1.653e-3
-0.222	-1.650e-3
-0.223	-1.647e-3
-0.224	-1.644e-3
-0.225	-1.644e-3
-0.226	-1.641e-3
-0.227	-1.638e-3
-0.228	-1.635e-3
-0.229	-1.632e-3
-0.230	-1.629e-3
-0.231	-1.626e-3
-0.232	-1.623e-3
-0.233	-1.620e-3
-0.234	-1.617e-3
-0.235	-1.613e-3
-0.236	-1.610e-3
-0.237	-1.607e-3
-0.238	-1.607e-3
-0.239	-1.604e-3
-0.240	-1.601e-3
-0.241	-1.598e-3
-0.242	-1.595e-3
-0.243	-1.592e-3
-0.244	-1.589e-3
-0.245	-1.586e-3
-0.246	-1.583e-3
-0.247	-1.580e-3
-0.248	-1.577e-3
-0.249	-1.573e-3
-0.250	-1.570e-3
-0.251	-1.570e-3
-0.252	-1.567e-3
-0.253	-1.564e-3
-0.254	-1.561e-3
-0.255	-1.558e-3
-0.256	-1.555e-3
-0.257	-1.552e-3
-0.258	-1.549e-3
-0.259	-1.546e-3
-0.260	-1.543e-3
-0.261	-1.540e-3
-0.262	-1.540e-3
-0.263	-1.537e-3
-0.264	-1.533e-3
-0.265	-1.530e-3
-0.266	-1.529e-3
-0.267	-1.527e-3
-0.268	-1.524e-3
-0.269	-1.522e-3
-0.270	-1.519e-3
-0.271	-1.517e-3
-0.272	-1.514e-3
-0.273	-1.512e-3
-0.274	-1.509e-3
-0.275	-1.507e-3
-0.276	-1.505e-3
-0.277	-1.502e-3
-0.278	-1.500e-3
-0.279	-1.497e-3
-0.280	-1.495e-3
-0.281	-1.492e-3
-0.282	-1.490e-3
-0.283	-1.488e-3
-0.284	-1.485e-3
-0.285	-1.483e-3
-0.286	-1.481e-3
-0.287	-1.478e-3
-0.288	-1.476e-3
-0.289	-1.473e-3
-0.290	-1.471e-3
-0.291	-1.469e-3
-0.292	-1.467e-3
-0.293	-1.464e-3
-0.294	-1.462e-3
-0.295	-1.460e-3
-0.296	-1.457e-3
-0.297	-1.455e-3
-0.298	-1.453e-3
-0.299	-1.451e-3
-0.300	-1.449e-3
-0.301	-1.447e-3
-0.302	-1.445e-3
-0.303	-1.443e-3
-0.304	-1.441e-3
-0.305	-1.439e-3
-0.306	-1.437e-3
-0.307	-1.435e-3
-0.308	-1.433e-3
-0.309	-1.430e-3
-0.310	-1.428e-3
-0.311	-1.426e-3
-0.312	-1.425e-3
-0.313	-1.422e-3
-0.314	-1.420e-3
-0.315	-1.418e-3
-0.316	-1.416e-3
-0.317	-1.414e-3
-0.318	-1.412e-3
-0.319	-1.410e-3
-0.320	-1.408e-3
-0.321	-1.406e-3
-0.322	-1.404e-3
-0.323	-1.402e-3
-0.324	-1.401e-3
-0.325	-1.398e-3
-0.326	-1.397e-3
-0.327	-1.394e-3
-0.328	-1.393e-3
-0.329	-1.391e-3
-0.330	-1.389e-3
-0.331	-1.387e-3
-0.332	-1.386e-3
-0.333	-1.384e-3
-0.334	-1.382e-3
-0.335	-1.380e-3
-0.336	-1.378e-3
-0.337	-1.376e-3
-0.338	-1.374e-3
-0.339	-1.372e-3
-0.340	-1.370e-3
-0.341	-1.368e-3
-0.342	-1.366e-3
-0.343	-1.364e-3
-0.344	-1.362e-3
-0.345	-1.360e-3
-0.346	-1.358e-3
-0.347	-1.357e-3
-0.348	-1.354e-3
-0.349	-1.353e-3
-0.350	-1.350e-3
-0.351	-1.349e-3
-0.352	-1.347e-3
-0.353	-1.345e-3
-0.354	-1.343e-3
-0.355	-1.341e-3
-0.356	-1.339e-3
-0.357	-1.337e-3
-0.358	-1.335e-3
-0.359	-1.333e-3
-0.360	-1.330e-3
-0.361	-1.329e-3
-0.362	-1.326e-3
-0.363	-1.325e-3
-0.364	-1.322e-3
-0.365	-1.320e-3
-0.366	-1.318e-3
-0.367	-1.316e-3
-0.368	-1.314e-3
