Mar. 10, 2019   12:09:40
Cyclic Voltammetry
File: 
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.6
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 20.0

Segment 1:
Ep = -0.141V
ip = -1.036e-3A
Ah = -6.457e-3C

Segment 2:

Segment 3:
Ep = -0.134V
ip = -1.014e-3A
Ah = -5.793e-3C

Segment 4:

Segment 5:
Ep = -0.145V
ip = -1.007e-3A
Ah = -6.891e-3C

Ep = -0.665V
ip = -2.306e-5A
Ah = -1.842e-5C

Segment 6:

Segment 7:
Ep = -0.140V
ip = -1.012e-3A
Ah = -6.416e-3C

Ep = -0.380V
ip = -1.708e-5A
Ah = -1.052e-5C

Current 2:

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Potential/V, i1/A, i2/A

0.200, 1.710e-4, 1.119e-5
0.199, 1.341e-4, 1.126e-5
0.198, 1.074e-4, 1.128e-5
0.197, 9.626e-5, 1.127e-5
0.196, 8.031e-5, 1.129e-5
0.195, 7.495e-5, 1.127e-5
0.194, 6.305e-5, 1.129e-5
0.193, 5.938e-5, 1.128e-5
0.192, 4.892e-5, 1.129e-5
0.191, 4.589e-5, 1.129e-5
0.190, 3.659e-5, 1.130e-5
0.189, 3.478e-5, 1.128e-5
0.188, 2.626e-5, 1.131e-5
0.187, 2.512e-5, 1.129e-5
0.186, 1.717e-5, 1.132e-5
0.185, 1.597e-5, 1.130e-5
0.184, 9.181e-6, 1.132e-5
0.183, 8.107e-6, 1.131e-5
0.182, 1.507e-6, 1.133e-5
0.181, 9.150e-7, 1.132e-5
0.180, -5.594e-6, 1.135e-5
0.179, -5.444e-6, 1.134e-5
0.178, -1.142e-5, 1.136e-5
0.177, -1.176e-5, 1.134e-5
0.176, -1.712e-5, 1.137e-5
0.175, -1.739e-5, 1.135e-5
0.174, -2.253e-5, 1.139e-5
