Init E (V) = 0.447
High E (V) = 1.6
Low E (V) = -1
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

0.447	2.522e-5
0.446	2.398e-5
0.445	2.352e-5
0.444	2.274e-5
0.443	2.239e-5
0.442	2.166e-5
0.441	2.134e-5
0.440	2.071e-5
0.439	2.044e-5
0.438	1.980e-5
0.437	1.955e-5
0.436	1.892e-5
0.435	1.874e-5
0.434	1.805e-5
0.433	1.792e-5
0.432	1.725e-5
0.431	1.716e-5
0.430	1.649e-5
0.429	1.640e-5
0.428	1.575e-5
0.427	1.571e-5
0.426	1.505e-5
0.425	1.502e-5
0.424	1.440e-5
0.423	1.438e-5
0.422	1.375e-5
0.421	1.372e-5
0.420	1.313e-5
0.419	1.313e-5
0.418	1.255e-5
0.417	1.255e-5
0.416	1.201e-5
0.415	1.200e-5
0.414	1.143e-5
0.413	1.147e-5
0.412	1.091e-5
0.411	1.097e-5
0.410	1.039e-5
0.409	1.044e-5
0.408	9.941e-6
0.407	9.974e-6
0.406	9.473e-6
0.405	9.542e-6
0.404	8.986e-6
0.403	9.096e-6
0.402	8.590e-6
0.401	8.683e-6
0.400	8.159e-6
0.399	8.265e-6
0.398	7.803e-6
0.397	7.879e-6
0.396	7.432e-6
0.395	7.540e-6
0.394	7.073e-6
0.393	7.186e-6
0.392	6.734e-6
0.391	6.848e-6
0.390	6.391e-6
0.389	6.522e-6
0.388	6.051e-6
0.387	6.199e-6
0.386	5.768e-6
0.385	5.898e-6
0.384	5.446e-6
0.383	5.601e-6
0.382	5.173e-6
0.381	5.340e-6
0.380	4.898e-6
0.379	5.081e-6
0.378	4.641e-6
0.377	4.799e-6
0.376	4.400e-6
0.375	4.568e-6
0.374	4.167e-6
0.373	4.335e-6
0.372	3.919e-6
0.371	4.116e-6
0.370	3.684e-6
0.369	3.899e-6
0.368	3.487e-6
0.367	3.667e-6
0.366	3.274e-6
0.365	3.470e-6
0.364	3.059e-6
0.363	3.274e-6
0.362	2.884e-6
0.361	3.074e-6
0.360	2.702e-6
0.359	2.890e-6
0.358	2.518e-6
0.357	2.730e-6
0.356	2.343e-6
0.355	2.557e-6
0.354	2.197e-6
0.353	2.408e-6
0.352	2.022e-6
0.351	2.217e-6
0.350	1.938e-6
0.349	2.058e-6
0.348	1.807e-6
0.347	1.923e-6
0.346	1.660e-6
0.345	1.794e-6
0.344	1.533e-6
0.343	1.673e-6
0.342	1.404e-6
0.341	1.555e-6
0.340	1.258e-6
0.339	1.463e-6
0.338	1.124e-6
0.337	1.335e-6
0.336	1.010e-6
0.335	1.243e-6
0.334	9.134e-7
0.333	1.118e-6
0.332	7.785e-7
0.331	1.036e-6
0.330	6.841e-7
0.329	9.370e-7
0.328	6.033e-7
0.327	8.366e-7
0.326	5.039e-7
0.325	7.530e-7
0.324	4.104e-7
0.323	6.693e-7
0.322	3.238e-7
0.321	5.728e-7
0.320	2.530e-7
0.319	5.039e-7
0.318	1.585e-7
0.317	4.154e-7
0.316	6.988e-8
0.315	3.425e-7
0.314	-4.921e-9
0.313	2.736e-7
0.312	-5.807e-8
0.311	2.047e-7
0.310	-1.358e-7
0.309	1.388e-7
0.308	-1.969e-7
0.307	3.740e-8
0.306	-2.569e-7
0.305	-1.280e-8
0.304	-3.386e-7
0.303	-7.382e-8
0.302	-3.996e-7
0.301	-1.309e-7
0.300	-4.695e-7
0.299	-1.772e-7
0.298	-5.138e-7
0.297	-2.352e-7
0.296	-5.659e-7
0.295	-3.061e-7
