Init E (V) = -0.1
High E (V) = 1.6
Low E (V) = -0.1
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 20
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

-0.100	2.707e-7
-0.099	2.858e-6
-0.098	2.589e-6
-0.097	3.694e-6
-0.096	3.082e-6
-0.095	4.048e-6
-0.094	3.369e-6
-0.093	4.289e-6
-0.092	3.586e-6
-0.091	4.468e-6
-0.090	3.748e-6
-0.089	4.637e-6
-0.088	3.861e-6
-0.087	4.731e-6
-0.086	4.009e-6
-0.085	4.833e-6
-0.084	4.102e-6
-0.083	4.931e-6
-0.082	4.203e-6
-0.081	5.028e-6
-0.080	4.276e-6
-0.079	5.106e-6
-0.078	4.371e-6
-0.077	5.182e-6
-0.076	4.457e-6
-0.075	5.235e-6
-0.074	4.508e-6
-0.073	5.333e-6
-0.072	4.567e-6
-0.071	5.389e-6
-0.070	4.645e-6
-0.069	5.451e-6
-0.068	4.706e-6
-0.067	5.510e-6
-0.066	4.770e-6
-0.065	5.573e-6
-0.064	4.815e-6
-0.063	5.619e-6
-0.062	4.866e-6
-0.061	5.680e-6
-0.060	4.931e-6
-0.059	5.728e-6
-0.058	4.987e-6
-0.057	5.807e-6
-0.056	5.019e-6
-0.055	5.844e-6
-0.054	5.085e-6
-0.053	5.898e-6
-0.052	5.132e-6
-0.051	5.957e-6
-0.050	5.183e-6
-0.049	6.012e-6
-0.048	5.216e-6
-0.047	6.061e-6
-0.046	5.269e-6
-0.045	6.104e-6
-0.044	5.338e-6
-0.043	6.157e-6
-0.042	5.362e-6
-0.041	6.219e-6
-0.040	5.412e-6
-0.039	6.268e-6
-0.038	5.482e-6
-0.037	6.298e-6
-0.036	5.517e-6
-0.035	6.343e-6
-0.034	5.562e-6
-0.033	6.418e-6
-0.032	5.626e-6
-0.031	6.468e-6
-0.030	5.674e-6
-0.029	6.513e-6
-0.028	5.735e-6
-0.027	6.555e-6
-0.026	5.773e-6
-0.025	6.624e-6
-0.024	5.816e-6
-0.023	6.657e-6
-0.022	5.871e-6
-0.021	6.712e-6
-0.020	5.921e-6
-0.019	6.762e-6
-0.018	5.974e-6
-0.017	6.815e-6
-0.016	6.019e-6
-0.015	6.862e-6
-0.014	6.078e-6
-0.013	6.917e-6
-0.012	6.137e-6
-0.011	6.974e-6
-0.010	6.187e-6
-0.009	7.038e-6
-0.008	6.229e-6
-0.007	7.071e-6
-0.006	6.298e-6
-0.005	7.122e-6
-0.004	6.355e-6
-0.003	7.173e-6
-0.002	6.387e-6
-0.001	7.243e-6
0.000	6.521e-6
0.001	7.318e-6
0.002	6.529e-6
0.003	7.347e-6
0.004	6.581e-6
0.005	7.411e-6
0.006	6.634e-6
0.007	7.466e-6
0.008	6.683e-6
0.009	7.508e-6
0.010	6.752e-6
0.011	7.562e-6
0.012	6.807e-6
0.013	7.613e-6
0.014	6.880e-6
0.015	7.701e-6
0.016	6.911e-6
0.017	7.749e-6
0.018	6.967e-6
0.019	7.793e-6
0.020	7.036e-6
0.021	7.857e-6
0.022	7.107e-6
0.023	7.919e-6
0.024	7.154e-6
0.025	7.975e-6
0.026	7.222e-6
0.027	8.049e-6
0.028	7.299e-6
0.029	8.095e-6
0.030	7.352e-6
0.031	8.170e-6
0.032	7.414e-6
0.033	8.221e-6
0.034	7.481e-6
0.035	8.291e-6
0.036	7.544e-6
0.037	8.344e-6
0.038	7.604e-6
0.039	8.436e-6
0.040	7.655e-6
0.041	8.499e-6
0.042	7.732e-6
0.043	8.563e-6
0.044	7.809e-6
0.045	8.643e-6
0.046	7.863e-6
0.047	8.717e-6
0.048	7.925e-6
0.049	8.775e-6
0.050	7.989e-6
0.051	8.868e-6
0.052	8.073e-6
0.053	8.923e-6
0.054	8.145e-6
0.055	9.008e-6
0.056	8.209e-6
0.057	9.078e-6
0.058	8.300e-6
0.059	9.155e-6
0.060	8.378e-6
0.061	9.219e-6
0.062	8.438e-6
0.063	9.305e-6
0.064	8.510e-6
0.065	9.390e-6
0.066	8.597e-6
0.067	9.444e-6
0.068	8.667e-6
0.069	9.526e-6
0.070	8.743e-6
0.071	9.622e-6
0.072	8.807e-6
0.073	9.677e-6
0.074	8.907e-6
0.075	9.758e-6
0.076	8.998e-6
0.077	9.844e-6
0.078	9.053e-6
0.079	9.918e-6
0.080	9.120e-6
0.081	1.000e-5
0.082	9.227e-6
0.083	1.007e-5
0.084	9.321e-6
0.085	1.015e-5
0.086	9.385e-6
0.087	1.024e-5
0.088	9.445e-6
0.089	1.031e-5
0.090	9.559e-6
0.091	1.039e-5
0.092	9.631e-6
0.093	1.046e-5
0.094	9.703e-6
0.095	1.057e-5
0.096	9.783e-6
0.097	1.065e-5
0.098	9.869e-6
0.099	1.072e-5
0.100	9.948e-6
0.101	1.080e-5
0.102	1.005e-5
0.103	1.093e-5
0.104	1.012e-5
0.105	1.099e-5
0.106	1.020e-5
0.107	1.106e-5
0.108	1.030e-5
0.109	1.115e-5
0.110	1.035e-5
0.111	1.123e-5
0.112	1.043e-5
0.113	1.132e-5
0.114	1.054e-5
0.115	1.140e-5
0.116	1.062e-5
0.117	1.147e-5
0.118	1.070e-5
0.119	1.157e-5
0.120	1.077e-5
0.121	1.165e-5
0.122	1.087e-5
0.123	1.171e-5
0.124	1.094e-5
0.125	1.180e-5
0.126	1.103e-5
0.127	1.190e-5
0.128	1.111e-5
0.129	1.197e-5
0.130	1.119e-5
0.131	1.204e-5
0.132	1.129e-5
0.133	1.213e-5
0.134	1.135e-5
0.135	1.224e-5
0.136	1.144e-5
0.137	1.230e-5
0.138	1.152e-5
0.139	1.237e-5
0.140	1.160e-5
0.141	1.246e-5
0.142	1.168e-5
0.143	1.255e-5
0.144	1.176e-5
0.145	1.263e-5
0.146	1.184e-5
0.147	1.269e-5
0.148	1.193e-5
0.149	1.278e-5
0.150	1.202e-5
0.151	1.286e-5
0.152	1.208e-5
0.153	1.295e-5
0.154	1.218e-5
0.155	1.302e-5
0.156	1.226e-5
0.157	1.309e-5
0.158	1.233e-5
0.159	1.319e-5
0.160	1.241e-5
0.161	1.327e-5
0.162	1.248e-5
0.163	1.334e-5
0.164	1.258e-5
0.165	1.342e-5
0.166	1.264e-5
0.167	1.351e-5
0.168	1.270e-5
0.169	1.358e-5
0.170	1.279e-5
0.171	1.364e-5
0.172	1.286e-5
0.173	1.373e-5
0.174	1.294e-5
0.175	1.381e-5
0.176	1.302e-5
0.177	1.388e-5
0.178	1.312e-5
0.179	1.395e-5
0.180	1.319e-5
0.181	1.403e-5
0.182	1.324e-5
0.183	1.412e-5
0.184	1.331e-5
0.185	1.421e-5
0.186	1.342e-5
0.187	1.425e-5
0.188	1.348e-5
0.189	1.433e-5
0.190	1.354e-5
0.191	1.442e-5
0.192	1.364e-5
0.193	1.450e-5
0.194	1.371e-5
0.195	1.456e-5
0.196	1.378e-5
0.197	1.464e-5
0.198	1.386e-5
0.199	1.475e-5
0.200	1.394e-5
0.201	1.479e-5
0.202	1.400e-5
0.203	1.487e-5
0.204	1.410e-5
0.205	1.496e-5
0.206	1.419e-5
0.207	1.502e-5
0.208	1.424e-5
0.209	1.511e-5
0.210	1.433e-5
0.211	1.519e-5
0.212	1.441e-5
0.213	1.526e-5
0.214	1.447e-5
0.215	1.534e-5
0.216	1.455e-5
0.217	1.541e-5
0.218	1.465e-5
0.219	1.549e-5
0.220	1.470e-5
0.221	1.556e-5
0.222	1.480e-5
0.223	1.565e-5
0.224	1.487e-5
0.225	1.575e-5
0.226	1.495e-5
0.227	1.581e-5
0.228	1.504e-5
0.229	1.589e-5
0.230	1.512e-5
0.231	1.601e-5
0.232	1.517e-5
0.233	1.608e-5
0.234	1.530e-5
0.235	1.614e-5
0.236	1.537e-5
0.237	1.624e-5
0.238	1.545e-5
0.239	1.632e-5
0.240	1.554e-5
0.241	1.641e-5
0.242	1.562e-5
0.243	1.650e-5
0.244	1.571e-5
0.245	1.656e-5
0.246	1.580e-5
0.247	1.667e-5
0.248	1.588e-5
0.249	1.675e-5
0.250	1.598e-5
0.251	1.683e-5
0.252	1.608e-5
0.253	1.693e-5
0.254	1.616e-5
0.255	1.702e-5
0.256	1.627e-5
0.257	1.712e-5
0.258	1.635e-5
0.259	1.720e-5
0.260	1.646e-5
0.261	1.730e-5
0.262	1.655e-5
0.263	1.740e-5
0.264	1.664e-5
0.265	1.749e-5
0.266	1.671e-5
0.267	1.758e-5
0.268	1.684e-5
0.269	1.769e-5
0.270	1.693e-5
0.271	1.778e-5
0.272	1.703e-5
0.273	1.789e-5
0.274	1.711e-5
0.275	1.797e-5
0.276	1.723e-5
0.277	1.807e-5
0.278	1.733e-5
0.279	1.818e-5
0.280	1.742e-5
0.281	1.830e-5
0.282	1.753e-5
0.283	1.841e-5
0.284	1.763e-5
0.285	1.849e-5
0.286	1.771e-5
0.287	1.859e-5
0.288	1.782e-5
0.289	1.871e-5
0.290	1.793e-5
0.291	1.880e-5
0.292	1.807e-5
0.293	1.890e-5
0.294	1.817e-5
0.295	1.902e-5
0.296	1.825e-5
0.297	1.914e-5
0.298	1.836e-5
0.299	1.926e-5
0.300	1.849e-5
0.301	1.936e-5
0.302	1.860e-5
0.303	1.948e-5
0.304	1.870e-5
0.305	1.957e-5
0.306	1.884e-5
0.307	1.973e-5
0.308	1.896e-5
0.309	1.982e-5
0.310	1.905e-5
0.311	1.994e-5
0.312	1.916e-5
0.313	2.006e-5
0.314	1.931e-5
0.315	2.017e-5
0.316	1.942e-5
0.317	2.029e-5
0.318	1.954e-5
0.319	2.042e-5
0.320	1.965e-5
0.321	2.054e-5
0.322	1.979e-5
0.323	2.065e-5
0.324	1.992e-5
0.325	2.076e-5
0.326	2.007e-5
0.327	2.091e-5
0.328	2.014e-5
0.329	2.105e-5
0.330	2.030e-5
0.331	2.115e-5
0.332	2.045e-5
0.333	2.129e-5
0.334	2.058e-5
0.335	2.142e-5
0.336	2.070e-5
0.337	2.157e-5
0.338	2.084e-5
0.339	2.172e-5
0.340	2.098e-5
0.341	2.184e-5
0.342	2.112e-5
0.343	2.201e-5
0.344	2.125e-5
0.345	2.215e-5
0.346	2.142e-5
0.347	2.229e-5
0.348	2.154e-5
0.349	2.247e-5
0.350	2.170e-5
0.351	2.263e-5
0.352	2.190e-5
0.353	2.276e-5
0.354	2.204e-5
0.355	2.293e-5
0.356	2.222e-5
0.357	2.310e-5
0.358	2.237e-5
0.359	2.331e-5
0.360	2.252e-5
0.361	2.346e-5
0.362	2.272e-5
0.363	2.362e-5
0.364	2.290e-5
0.365	2.381e-5
0.366	2.309e-5
0.367	2.399e-5
0.368	2.325e-5
0.369	2.416e-5
0.370	2.344e-5
0.371	2.435e-5
0.372	2.364e-5
0.373	2.455e-5
0.374	2.385e-5
0.375	2.475e-5
0.376	2.403e-5
0.377	2.497e-5
0.378	2.424e-5
0.379	2.516e-5
0.380	2.447e-5
0.381	2.538e-5
0.382	2.465e-5
0.383	2.564e-5
0.384	2.490e-5
0.385	2.584e-5
0.386	2.516e-5
0.387	2.607e-5
0.388	2.538e-5
0.389	2.631e-5
0.390	2.564e-5
0.391	2.658e-5
0.392	2.586e-5
0.393	2.681e-5
0.394	2.614e-5
0.395	2.705e-5
0.396	2.641e-5
0.397	2.734e-5
0.398	2.667e-5
0.399	2.764e-5
0.400	2.694e-5
0.401	2.793e-5
0.402	2.724e-5
0.403	2.824e-5
0.404	2.755e-5
0.405	2.855e-5
0.406	2.787e-5
0.407	2.888e-5
0.408	2.821e-5
0.409	2.922e-5
0.410	2.859e-5
0.411	2.955e-5
0.412	2.892e-5
0.413	2.990e-5
0.414	2.926e-5
0.415	3.030e-5
0.416	2.963e-5
0.417	3.068e-5
0.418	3.003e-5
0.419	3.107e-5
0.420	3.044e-5
0.421	3.148e-5
0.422	3.088e-5
0.423	3.193e-5
0.424	3.130e-5
0.425	3.234e-5
0.426	3.176e-5
0.427	3.281e-5
0.428	3.223e-5
0.429	3.328e-5
0.430	3.269e-5
0.431	3.380e-5
0.432	3.322e-5
0.433	3.430e-5
0.434	3.374e-5
0.435	3.483e-5
0.436	3.430e-5
0.437	3.540e-5
0.438	3.485e-5
0.439	3.600e-5
0.440	3.544e-5
0.441	3.663e-5
0.442	3.608e-5
0.443	3.723e-5
0.444	3.672e-5
0.445	3.784e-5
0.446	3.736e-5
0.447	3.854e-5
0.448	3.802e-5
0.449	3.924e-5
0.450	3.875e-5
0.451	3.992e-5
0.452	3.945e-5
0.453	4.055e-5
0.454	4.013e-5
0.455	4.130e-5
0.456	4.079e-5
0.457	4.205e-5
0.458	4.159e-5
0.459	4.285e-5
0.460	4.241e-5
0.461	4.364e-5
0.462	4.320e-5
0.463	4.445e-5
0.464	4.402e-5
0.465	4.526e-5
0.466	4.482e-5
0.467	4.612e-5
0.468	4.574e-5
0.469	4.696e-5
0.470	4.658e-5
0.471	4.788e-5
0.472	4.744e-5
0.473	4.877e-5
0.474	4.839e-5
0.475	4.966e-5
0.476	4.927e-5
0.477	5.058e-5
0.478	5.014e-5
0.479	5.148e-5
0.480	5.108e-5
0.481	5.242e-5
0.482	5.198e-5
0.483	5.334e-5
0.484	5.294e-5
0.485	5.426e-5
0.486	5.385e-5
0.487	5.521e-5
0.488	5.478e-5
0.489	5.617e-5
0.490	5.573e-5
0.491	5.706e-5
0.492	5.670e-5
0.493	5.804e-5
0.494	5.757e-5
0.495	5.894e-5
0.496	5.849e-5
0.497	5.984e-5
0.498	5.940e-5
0.499	6.076e-5
0.500	6.031e-5
0.501	6.164e-5
0.502	6.120e-5
0.503	6.254e-5
0.504	6.207e-5
0.505	6.340e-5
0.506	6.295e-5
0.507	6.424e-5
0.508	6.377e-5
0.509	6.506e-5
0.510	6.453e-5
0.511	6.591e-5
0.512	6.536e-5
0.513	6.665e-5
0.514	6.611e-5
0.515	6.738e-5
0.516	6.681e-5
0.517	6.802e-5
0.518	6.744e-5
0.519	6.870e-5
0.520	6.803e-5
0.521	6.929e-5
0.522	6.861e-5
0.523	6.979e-5
0.524	6.913e-5
0.525	7.030e-5
0.526	6.961e-5
0.527	7.075e-5
0.528	6.997e-5
0.529	7.111e-5
0.530	7.037e-5
0.531	7.143e-5
0.532	7.067e-5
0.533	7.167e-5
0.534	7.089e-5
0.535	7.191e-5
0.536	7.107e-5
0.537	7.206e-5
0.538	7.125e-5
0.539	7.218e-5
0.540	7.131e-5
0.541	7.226e-5
0.542	7.129e-5
0.543	7.223e-5
0.544	7.133e-5
0.545	7.220e-5
0.546	7.122e-5
0.547	7.207e-5
0.548	7.109e-5
0.549	7.194e-5
0.550	7.095e-5
0.551	7.182e-5
0.552	7.077e-5
0.553	7.161e-5
0.554	7.059e-5
0.555	7.137e-5
0.556	7.035e-5
0.557	7.112e-5
0.558	7.010e-5
0.559	7.087e-5
0.560	6.981e-5
0.561	7.060e-5
0.562	6.952e-5
0.563	7.029e-5
0.564	6.929e-5
0.565	6.999e-5
0.566	6.891e-5
0.567	6.969e-5
0.568	6.860e-5
0.569	6.935e-5
0.570	6.831e-5
0.571	6.903e-5
0.572	6.796e-5
0.573	6.872e-5
0.574	6.762e-5
0.575	6.839e-5
0.576	6.733e-5
0.577	6.808e-5
