Init E (V) = 0
High E (V) = 1.3
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 20
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

0.000	3.834e-7
0.001	5.076e-7
0.002	5.393e-7
0.003	5.529e-7
0.004	5.695e-7
0.005	5.781e-7
0.006	5.879e-7
0.007	5.987e-7
0.008	6.021e-7
0.009	6.085e-7
0.010	6.230e-7
0.011	6.270e-7
0.012	6.402e-7
0.013	6.451e-7
0.014	6.476e-7
0.015	6.562e-7
0.016	6.614e-7
0.017	6.670e-7
0.018	6.753e-7
0.019	6.833e-7
0.020	6.894e-7
0.021	6.937e-7
0.022	6.971e-7
0.023	7.063e-7
0.024	7.103e-7
0.025	7.196e-7
0.026	7.288e-7
0.027	7.300e-7
0.028	7.402e-7
0.029	7.429e-7
0.030	7.482e-7
0.031	7.562e-7
0.032	7.629e-7
0.033	7.672e-7
0.034	7.774e-7
0.035	7.805e-7
0.036	7.912e-7
0.037	7.958e-7
0.038	7.977e-7
0.039	8.060e-7
0.040	8.131e-7
0.041	8.204e-7
0.042	8.312e-7
0.043	8.349e-7
0.044	8.423e-7
0.045	8.478e-7
0.046	8.506e-7
0.047	8.629e-7
0.048	8.690e-7
0.049	8.758e-7
0.050	8.853e-7
0.051	8.915e-7
0.052	9.004e-7
0.053	9.066e-7
0.054	9.112e-7
0.055	9.226e-7
0.056	9.287e-7
0.057	9.364e-7
0.058	9.472e-7
0.059	9.512e-7
0.060	9.638e-7
0.061	9.681e-7
0.062	9.761e-7
0.063	9.878e-7
0.064	9.948e-7
0.065	1.005e-6
0.066	1.015e-6
0.067	1.020e-6
0.068	1.031e-6
0.069	1.039e-6
0.070	1.047e-6
0.071	1.060e-6
0.072	1.068e-6
0.073	1.077e-6
0.074	1.091e-6
0.075	1.097e-6
0.076	1.112e-6
0.077	1.120e-6
0.078	1.129e-6
0.079	1.142e-6
0.080	1.151e-6
0.081	1.162e-6
0.082	1.174e-6
0.083	1.184e-6
0.084	1.198e-6
0.085	1.211e-6
0.086	1.218e-6
0.087	1.234e-6
0.088	1.245e-6
0.089	1.257e-6
0.090	1.272e-6
0.091	1.280e-6
0.092	1.299e-6
0.093	1.310e-6
0.094	1.320e-6
0.095	1.338e-6
0.096	1.351e-6
0.097	1.361e-6
0.098	1.380e-6
0.099	1.390e-6
0.100	1.409e-6
0.101	1.424e-6
0.102	1.442e-6
0.103	1.458e-6
0.104	1.467e-6
0.105	1.482e-6
0.106	1.501e-6
0.107	1.515e-6
0.108	1.536e-6
0.109	1.551e-6
0.110	1.566e-6
0.111	1.585e-6
0.112	1.601e-6
0.113	1.616e-6
0.114	1.640e-6
0.115	1.654e-6
0.116	1.678e-6
0.117	1.693e-6
0.118	1.710e-6
0.119	1.732e-6
0.120	1.747e-6
0.121	1.767e-6
0.122	1.790e-6
0.123	1.805e-6
0.124	1.831e-6
0.125	1.850e-6
0.126	1.868e-6
0.127	1.889e-6
0.128	1.908e-6
0.129	1.927e-6
0.130	1.953e-6
0.131	1.971e-6
0.132	1.996e-6
0.133	2.018e-6
0.134	2.036e-6
0.135	2.061e-6
0.136	2.080e-6
0.137	2.117e-6
0.138	2.130e-6
0.139	2.151e-6
0.140	2.176e-6
0.141	2.197e-6
0.142	2.216e-6
0.143	2.241e-6
0.144	2.259e-6
0.145	2.284e-6
0.146	2.311e-6
0.147	2.336e-6
0.148	2.360e-6
0.149	2.385e-6
0.150	2.400e-6
0.151	2.425e-6
0.152	2.447e-6
0.153	2.471e-6
0.154	2.499e-6
0.155	2.520e-6
0.156	2.545e-6
0.157	2.567e-6
0.158	2.585e-6
0.159	2.613e-6
0.160	2.634e-6
0.161	2.659e-6
0.162	2.683e-6
0.163	2.699e-6
0.164	2.727e-6
0.165	2.745e-6
0.166	2.770e-6
0.167	2.797e-6
0.168	2.813e-6
0.169	2.834e-6
0.170	2.859e-6
0.171	2.874e-6
0.172	2.899e-6
0.173	2.920e-6
0.174	2.936e-6
0.175	2.960e-6
0.176	2.979e-6
0.177	2.997e-6
0.178	3.022e-6
0.179	3.037e-6
0.180	3.056e-6
0.181	3.071e-6
0.182	3.086e-6
0.183	3.111e-6
0.184	3.126e-6
0.185	3.142e-6
0.186	3.160e-6
0.187	3.172e-6
0.188	3.191e-6
0.189	3.206e-6
0.190	3.219e-6
0.191	3.237e-6
0.192	3.252e-6
0.193	3.262e-6
0.194	3.277e-6
0.195	3.283e-6
0.196	3.302e-6
0.197	3.314e-6
0.198	3.323e-6
0.199	3.339e-6
0.200	3.345e-6
0.201	3.357e-6
0.202	3.369e-6
0.203	3.372e-6
0.204	3.385e-6
0.205	3.397e-6
0.206	3.400e-6
0.207	3.412e-6
0.208	3.419e-6
0.209	3.425e-6
0.210	3.431e-6
0.211	3.437e-6
0.212	3.446e-6
0.213	3.452e-6
0.214	3.455e-6
0.215	3.465e-6
0.216	3.465e-6
0.217	3.471e-6
0.218	3.477e-6
0.219	3.477e-6
0.220	3.486e-6
0.221	3.486e-6
0.222	3.489e-6
0.223	3.495e-6
0.224	3.495e-6
0.225	3.492e-6
0.226	3.502e-6
0.227	3.502e-6
0.228	3.508e-6
0.229	3.505e-6
0.230	3.508e-6
0.231	3.511e-6
0.232	3.508e-6
0.233	3.508e-6
0.234	3.514e-6
0.235	3.511e-6
0.236	3.514e-6
0.237	3.514e-6
0.238	3.514e-6
0.239	3.514e-6
0.240	3.511e-6
0.241	3.514e-6
0.242	3.517e-6
0.243	3.514e-6
0.244	3.517e-6
0.245	3.517e-6
0.246	3.514e-6
0.247	3.517e-6
0.248	3.514e-6
0.249	3.517e-6
0.250	3.520e-6
0.251	3.514e-6
0.252	3.520e-6
0.253	3.520e-6
0.254	3.514e-6
0.255	3.517e-6
0.256	3.520e-6
0.257	3.514e-6
0.258	3.520e-6
0.259	3.517e-6
0.260	3.520e-6
0.261	3.520e-6
0.262	3.517e-6
0.263	3.520e-6
0.264	3.520e-6
0.265	3.523e-6
0.266	3.526e-6
0.267	3.523e-6
0.268	3.526e-6
0.269	3.529e-6
0.270	3.526e-6
0.271	3.526e-6
0.272	3.526e-6
0.273	3.529e-6
0.274	3.535e-6
0.275	3.535e-6
0.276	3.535e-6
0.277	3.535e-6
0.278	3.539e-6
0.279	3.545e-6
0.280	3.542e-6
0.281	3.545e-6
0.282	3.554e-6
0.283	3.551e-6
0.284	3.554e-6
0.285	3.557e-6
0.286	3.557e-6
0.287	3.566e-6
0.288	3.566e-6
0.289	3.569e-6
0.290	3.572e-6
0.291	3.572e-6
0.292	3.582e-6
0.293	3.585e-6
0.294	3.588e-6
0.295	3.594e-6
0.296	3.594e-6
0.297	3.597e-6
0.298	3.609e-6
0.299	3.606e-6
0.300	3.612e-6
0.301	3.622e-6
0.302	3.622e-6
0.303	3.634e-6
0.304	3.637e-6
0.305	3.640e-6
0.306	3.649e-6
0.307	3.658e-6
0.308	3.668e-6
0.309	3.674e-6
0.310	3.677e-6
0.311	3.686e-6
0.312	3.692e-6
0.313	3.698e-6
0.314	3.711e-6
0.315	3.714e-6
0.316	3.723e-6
0.317	3.735e-6
0.318	3.745e-6
0.319	3.757e-6
0.320	3.763e-6
0.321	3.772e-6
0.322	3.785e-6
0.323	3.794e-6
0.324	3.812e-6
0.325	3.821e-6
0.326	3.828e-6
0.327	3.846e-6
0.328	3.855e-6
0.329	3.868e-6
0.330	3.886e-6
0.331	3.895e-6
0.332	3.914e-6
0.333	3.926e-6
0.334	3.941e-6
0.335	3.960e-6
0.336	3.972e-6
0.337	3.988e-6
0.338	4.012e-6
0.339	4.028e-6
0.340	4.049e-6
0.341	4.064e-6
0.342	4.083e-6
0.343	4.108e-6
0.344	4.123e-6
0.345	4.151e-6
0.346	4.172e-6
0.347	4.197e-6
0.348	4.221e-6
0.349	4.246e-6
0.350	4.271e-6
0.351	4.298e-6
0.352	4.326e-6
0.353	4.351e-6
0.354	4.387e-6
0.355	4.412e-6
0.356	4.449e-6
0.357	4.483e-6
0.358	4.514e-6
0.359	4.547e-6
0.360	4.584e-6
0.361	4.621e-6
0.362	4.664e-6
0.363	4.701e-6
0.364	4.744e-6
0.365	4.787e-6
0.366	4.827e-6
0.367	4.876e-6
0.368	4.926e-6
0.369	4.981e-6
0.370	5.036e-6
0.371	5.083e-6
0.372	5.141e-6
0.373	5.196e-6
0.374	5.252e-6
0.375	5.326e-6
0.376	5.387e-6
0.377	5.458e-6
0.378	5.525e-6
0.379	5.593e-6
0.380	5.670e-6
0.381	5.750e-6
0.382	5.830e-6
0.383	5.919e-6
0.384	6.002e-6
0.385	6.091e-6
0.386	6.184e-6
0.387	6.276e-6
0.388	6.381e-6
0.389	6.482e-6
0.390	6.593e-6
0.391	6.703e-6
0.392	6.817e-6
0.393	6.931e-6
0.394	7.054e-6
0.395	7.177e-6
0.396	7.313e-6
0.397	7.445e-6
0.398	7.577e-6
0.399	7.725e-6
0.400	7.866e-6
0.401	8.017e-6
0.402	8.168e-6
0.403	8.321e-6
0.404	8.487e-6
0.405	8.654e-6
0.406	8.820e-6
0.407	8.998e-6
0.408	9.173e-6
0.409	9.352e-6
0.410	9.536e-6
0.411	9.724e-6
0.412	9.921e-6
0.413	1.011e-5
0.414	1.031e-5
0.415	1.051e-5
0.416	1.071e-5
0.417	1.092e-5
0.418	1.113e-5
0.419	1.134e-5
0.420	1.156e-5
0.421	1.178e-5
0.422	1.199e-5
0.423	1.222e-5
0.424	1.243e-5
0.425	1.266e-5
0.426	1.289e-5
0.427	1.311e-5
0.428	1.334e-5
0.429	1.357e-5
0.430	1.380e-5
0.431	1.404e-5
0.432	1.426e-5
0.433	1.449e-5
0.434	1.473e-5
0.435	1.496e-5
0.436	1.520e-5
0.437	1.542e-5
0.438	1.565e-5
0.439	1.588e-5
0.440	1.611e-5
0.441	1.633e-5
0.442	1.656e-5
0.443	1.678e-5
0.444	1.700e-5
0.445	1.723e-5
0.446	1.744e-5
0.447	1.765e-5
0.448	1.787e-5
0.449	1.808e-5
0.450	1.828e-5
0.451	1.848e-5
0.452	1.869e-5
0.453	1.888e-5
0.454	1.907e-5
0.455	1.927e-5
0.456	1.945e-5
0.457	1.963e-5
0.458	1.982e-5
0.459	1.999e-5
0.460	2.016e-5
0.461	2.032e-5
0.462	2.048e-5
0.463	2.064e-5
0.464	2.079e-5
0.465	2.093e-5
0.466	2.108e-5
0.467	2.122e-5
0.468	2.135e-5
0.469	2.147e-5
