Init E (V) = -0.04
High E (V) = 2.1
Low E (V) = -1
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

-0.040	-3.891e-3
-0.041	-3.900e-3
-0.042	-3.906e-3
-0.043	-3.911e-3
-0.044	-3.916e-3
-0.045	-3.920e-3
-0.046	-3.924e-3
-0.047	-3.928e-3
-0.048	-3.931e-3
-0.049	-3.935e-3
-0.050	-3.937e-3
-0.051	-3.940e-3
-0.052	-3.943e-3
-0.053	-3.946e-3
-0.054	-3.948e-3
-0.055	-3.950e-3
-0.056	-3.952e-3
-0.057	-3.954e-3
-0.058	-3.956e-3
-0.059	-3.957e-3
-0.060	-3.959e-3
-0.061	-3.960e-3
-0.062	-3.961e-3
-0.063	-3.963e-3
-0.064	-3.964e-3
-0.065	-3.965e-3
-0.066	-3.966e-3
-0.067	-3.967e-3
-0.068	-3.968e-3
-0.069	-3.969e-3
-0.070	-3.969e-3
-0.071	-3.971e-3
-0.072	-3.971e-3
-0.073	-3.972e-3
-0.074	-3.973e-3
-0.075	-3.974e-3
-0.076	-3.974e-3
-0.077	-3.975e-3
-0.078	-3.975e-3
-0.079	-3.976e-3
-0.080	-3.976e-3
-0.081	-3.977e-3
-0.082	-3.977e-3
-0.083	-3.978e-3
-0.084	-3.978e-3
-0.085	-3.978e-3
-0.086	-3.978e-3
-0.087	-3.979e-3
-0.088	-3.979e-3
-0.089	-3.979e-3
-0.090	-3.979e-3
-0.091	-3.980e-3
-0.092	-3.980e-3
-0.093	-3.980e-3
-0.094	-3.980e-3
-0.095	-3.980e-3
-0.096	-3.980e-3
-0.097	-3.981e-3
-0.098	-3.980e-3
-0.099	-3.981e-3
-0.100	-3.980e-3
-0.101	-3.981e-3
-0.102	-3.981e-3
-0.103	-3.981e-3
-0.104	-3.981e-3
-0.105	-3.981e-3
-0.106	-3.980e-3
-0.107	-3.981e-3
-0.108	-3.980e-3
-0.109	-3.980e-3
-0.110	-3.980e-3
-0.111	-3.980e-3
-0.112	-3.980e-3
-0.113	-3.980e-3
-0.114	-3.979e-3
-0.115	-3.979e-3
-0.116	-3.979e-3
-0.117	-3.979e-3
-0.118	-3.978e-3
-0.119	-3.978e-3
-0.120	-3.978e-3
-0.121	-3.977e-3
-0.122	-3.977e-3
-0.123	-3.977e-3
-0.124	-3.976e-3
-0.125	-3.976e-3
-0.126	-3.975e-3
-0.127	-3.975e-3
-0.128	-3.974e-3
-0.129	-3.974e-3
-0.130	-3.973e-3
-0.131	-3.973e-3
-0.132	-3.972e-3
-0.133	-3.972e-3
-0.134	-3.971e-3
-0.135	-3.971e-3
-0.136	-3.970e-3
-0.137	-3.969e-3
-0.138	-3.968e-3
-0.139	-3.968e-3
-0.140	-3.967e-3
-0.141	-3.967e-3
-0.142	-3.966e-3
-0.143	-3.965e-3
-0.144	-3.964e-3
-0.145	-3.964e-3
-0.146	-3.963e-3
-0.147	-3.963e-3
-0.148	-3.962e-3
-0.149	-3.961e-3
-0.150	-3.960e-3
-0.151	-3.960e-3
-0.152	-3.958e-3
-0.153	-3.958e-3
-0.154	-3.956e-3
-0.155	-3.956e-3
-0.156	-3.955e-3
-0.157	-3.955e-3
-0.158	-3.953e-3
-0.159	-3.953e-3
-0.160	-3.951e-3
-0.161	-3.950e-3
-0.162	-3.949e-3
-0.163	-3.948e-3
-0.164	-3.947e-3
-0.165	-3.946e-3
-0.166	-3.945e-3
-0.167	-3.944e-3
-0.168	-3.942e-3
-0.169	-3.941e-3
-0.170	-3.940e-3
-0.171	-3.939e-3
-0.172	-3.937e-3
-0.173	-3.936e-3
-0.174	-3.935e-3
-0.175	-3.934e-3
-0.176	-3.932e-3
-0.177	-3.931e-3
-0.178	-3.929e-3
-0.179	-3.928e-3
-0.180	-3.927e-3
-0.181	-3.925e-3
-0.182	-3.924e-3
-0.183	-3.923e-3
-0.184	-3.921e-3
-0.185	-3.920e-3
-0.186	-3.918e-3
-0.187	-3.916e-3
-0.188	-3.915e-3
-0.189	-3.914e-3
-0.190	-3.912e-3
-0.191	-3.911e-3
-0.192	-3.909e-3
-0.193	-3.907e-3
-0.194	-3.905e-3
-0.195	-3.904e-3
-0.196	-3.902e-3
-0.197	-3.900e-3
-0.198	-3.898e-3
-0.199	-3.897e-3
-0.200	-3.894e-3
-0.201	-3.893e-3
-0.202	-3.891e-3
-0.203	-3.889e-3
-0.204	-3.887e-3
-0.205	-3.886e-3
-0.206	-3.884e-3
-0.207	-3.882e-3
-0.208	-3.880e-3
-0.209	-3.878e-3
-0.210	-3.876e-3
-0.211	-3.874e-3
-0.212	-3.871e-3
-0.213	-3.870e-3
-0.214	-3.867e-3
-0.215	-3.865e-3
-0.216	-3.863e-3
-0.217	-3.861e-3
-0.218	-3.859e-3
-0.219	-3.857e-3
-0.220	-3.854e-3
-0.221	-3.852e-3
-0.222	-3.849e-3
-0.223	-3.848e-3
-0.224	-3.846e-3
-0.225	-3.843e-3
-0.226	-3.840e-3
-0.227	-3.838e-3
-0.228	-3.835e-3
-0.229	-3.833e-3
-0.230	-3.830e-3
-0.231	-3.828e-3
-0.232	-3.825e-3
-0.233	-3.823e-3
-0.234	-3.820e-3
-0.235	-3.818e-3
-0.236	-3.815e-3
-0.237	-3.813e-3
-0.238	-3.810e-3
-0.239	-3.808e-3
-0.240	-3.804e-3
-0.241	-3.802e-3
-0.242	-3.799e-3
-0.243	-3.797e-3
-0.244	-3.794e-3
-0.245	-3.791e-3
-0.246	-3.788e-3
-0.247	-3.786e-3
-0.248	-3.783e-3
-0.249	-3.780e-3
-0.250	-3.777e-3
-0.251	-3.774e-3
-0.252	-3.771e-3
-0.253	-3.768e-3
-0.254	-3.765e-3
-0.255	-3.763e-3
-0.256	-3.759e-3
-0.257	-3.756e-3
-0.258	-3.753e-3
-0.259	-3.750e-3
-0.260	-3.747e-3
-0.261	-3.744e-3
-0.262	-3.741e-3
-0.263	-3.738e-3
-0.264	-3.735e-3
-0.265	-3.732e-3
-0.266	-3.729e-3
