Init E (V) = 2.3
High E (V) = 0.3
Low E (V) = -1
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 5
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

2.300	5.052e-2
2.299	4.474e-2
2.298	4.034e-2
2.297	3.723e-2
2.296	3.489e-2
2.295	3.299e-2
2.294	3.136e-2
2.293	2.991e-2
2.292	2.871e-2
2.291	2.751e-2
2.290	2.643e-2
2.289	2.542e-2
2.288	2.444e-2
2.287	2.354e-2
2.286	2.268e-2
2.285	2.194e-2
2.284	2.127e-2
2.283	2.062e-2
2.282	2.004e-2
2.281	1.951e-2
2.280	1.905e-2
2.279	1.853e-2
2.278	1.801e-2
2.277	1.758e-2
2.276	1.715e-2
2.275	1.675e-2
2.274	1.638e-2
2.273	1.604e-2
2.272	1.573e-2
2.271	1.545e-2
2.270	1.521e-2
2.269	1.496e-2
2.268	1.472e-2
2.267	1.450e-2
2.266	1.429e-2
2.265	1.390e-2
2.264	1.370e-2
2.263	1.352e-2
2.262	1.333e-2
2.261	1.315e-2
2.260	1.299e-2
2.259	1.284e-2
2.258	1.269e-2
2.257	1.253e-2
2.256	1.238e-2
2.255	1.225e-2
2.254	1.211e-2
2.253	1.197e-2
2.252	1.184e-2
2.251	1.171e-2
2.250	1.159e-2
2.249	1.147e-2
2.248	1.136e-2
2.247	1.125e-2
2.246	1.114e-2
2.245	1.103e-2
2.244	1.093e-2
2.243	1.083e-2
2.242	1.072e-2
2.241	1.063e-2
2.240	1.053e-2
2.239	1.044e-2
2.238	1.035e-2
2.237	1.026e-2
2.236	1.017e-2
2.235	1.010e-2
2.234	1.001e-2
2.233	9.933e-3
2.232	9.844e-3
2.231	9.764e-3
2.230	9.687e-3
2.229	9.613e-3
2.228	9.542e-3
2.227	9.466e-3
2.226	9.395e-3
2.225	9.324e-3
2.224	9.318e-3
2.223	9.278e-3
2.222	9.133e-3
2.221	9.060e-3
2.220	8.995e-3
2.219	8.927e-3
2.218	8.863e-3
2.217	8.801e-3
2.216	8.743e-3
2.215	8.681e-3
2.214	8.623e-3
2.213	8.561e-3
2.212	8.506e-3
2.211	8.447e-3
2.210	8.392e-3
2.209	8.334e-3
2.208	8.281e-3
2.207	8.226e-3
2.206	8.174e-3
2.205	8.125e-3
2.204	8.066e-3
2.203	8.069e-3
2.202	8.011e-3
2.201	7.955e-3
2.200	7.903e-3
2.199	7.848e-3
2.198	7.795e-3
2.197	7.746e-3
2.196	7.700e-3
2.195	7.654e-3
2.194	7.608e-3
2.193	7.549e-3
2.192	7.512e-3
2.191	7.466e-3
2.190	7.417e-3
2.189	7.371e-3
2.188	7.322e-3
2.187	7.269e-3
2.186	7.220e-3
2.185	7.180e-3
2.184	7.137e-3
2.183	7.097e-3
2.182	7.051e-3
2.181	7.011e-3
2.180	6.971e-3
2.179	6.931e-3
2.178	6.891e-3
2.177	6.854e-3
2.176	6.814e-3
2.175	6.774e-3
2.174	6.737e-3
2.173	6.700e-3
2.172	6.737e-3
2.171	6.703e-3
2.170	6.645e-3
2.169	6.596e-3
2.168	6.553e-3
2.167	6.513e-3
2.166	6.470e-3
2.165	6.433e-3
2.164	6.399e-3
2.163	6.365e-3
2.162	6.328e-3
2.161	6.294e-3
2.160	6.258e-3
2.159	6.227e-3
2.158	6.196e-3
2.157	6.165e-3
2.156	6.131e-3
2.155	6.098e-3
2.154	6.067e-3
2.153	6.033e-3
2.152	5.999e-3
2.151	5.971e-3
2.150	5.941e-3
2.149	5.913e-3
2.148	5.882e-3
2.147	5.858e-3
2.146	5.833e-3
2.145	5.802e-3
2.144	5.778e-3
2.143	5.750e-3
2.142	5.728e-3
2.141	5.701e-3
2.140	5.679e-3
2.139	5.722e-3
2.138	5.698e-3
2.137	5.639e-3
2.136	5.599e-3
2.135	5.572e-3
2.134	5.538e-3
2.133	5.513e-3
2.132	5.489e-3
2.131	5.464e-3
2.130	5.442e-3
2.129	5.421e-3
2.128	5.396e-3
2.127	5.372e-3
2.126	5.353e-3
2.125	5.332e-3
2.124	5.313e-3
2.123	5.292e-3
2.122	5.270e-3
2.121	5.252e-3
2.120	5.233e-3
2.119	5.212e-3
2.118	5.193e-3
2.117	5.175e-3
2.116	5.156e-3
2.115	5.141e-3
2.114	5.126e-3
2.113	5.107e-3
2.112	5.098e-3
2.111	5.070e-3
2.110	5.052e-3
2.109	5.033e-3
2.108	5.021e-3
2.107	5.003e-3
2.106	4.987e-3
