Init E (V) = 0.06
High E (V) = 1.6
Low E (V) = -1
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

0.060	-1.947e-6
0.059	-3.421e-6
0.058	-3.691e-6
0.057	-3.843e-6
0.056	-3.927e-6
0.055	-4.048e-6
0.054	-4.112e-6
0.053	-4.177e-6
0.052	-4.267e-6
0.051	-4.343e-6
0.050	-4.338e-6
0.049	-4.468e-6
0.048	-4.431e-6
0.047	-4.561e-6
0.046	-4.543e-6
0.045	-4.613e-6
0.044	-4.657e-6
0.043	-4.685e-6
0.042	-4.711e-6
0.041	-4.781e-6
0.040	-4.765e-6
0.039	-4.850e-6
0.038	-4.863e-6
0.037	-4.899e-6
0.036	-4.927e-6
0.035	-4.963e-6
0.034	-4.975e-6
0.033	-5.060e-6
0.032	-5.036e-6
0.031	-5.083e-6
0.030	-5.086e-6
0.029	-5.134e-6
0.028	-5.173e-6
0.027	-5.178e-6
0.026	-5.211e-6
0.025	-5.267e-6
0.024	-5.229e-6
0.023	-5.301e-6
0.022	-5.288e-6
0.021	-5.329e-6
0.020	-5.349e-6
0.019	-5.374e-6
0.018	-5.371e-6
0.017	-5.444e-6
0.016	-5.414e-6
0.015	-5.474e-6
0.014	-5.454e-6
0.013	-5.520e-6
0.012	-5.526e-6
0.011	-5.552e-6
0.010	-5.551e-6
0.009	-5.616e-6
0.008	-5.581e-6
0.007	-5.653e-6
0.006	-5.638e-6
0.005	-5.683e-6
0.004	-5.697e-6
0.003	-5.715e-6
0.002	-5.703e-6
0.001	-5.776e-6
0.000	-5.866e-6
-0.001	-5.820e-6
-0.002	-5.798e-6
-0.003	-5.848e-6
-0.004	-5.867e-6
-0.005	-5.882e-6
-0.006	-5.881e-6
-0.007	-5.949e-6
-0.008	-5.911e-6
-0.009	-5.965e-6
-0.010	-5.950e-6
-0.011	-5.997e-6
-0.012	-6.020e-6
-0.013	-6.065e-6
-0.014	-6.011e-6
-0.015	-6.097e-6
-0.016	-6.049e-6
-0.017	-6.137e-6
-0.018	-6.094e-6
-0.019	-6.189e-6
-0.020	-6.165e-6
-0.021	-6.184e-6
-0.022	-6.146e-6
-0.023	-6.275e-6
-0.024	-6.188e-6
