Init E (V) = 0.06
High E (V) = 1.8
Low E (V) = -0.95
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

0.060	8.115e-5
0.059	7.928e-5
0.058	7.758e-5
0.057	7.599e-5
0.056	7.448e-5
0.055	7.303e-5
0.054	7.168e-5
0.053	7.036e-5
0.052	6.910e-5
0.051	6.790e-5
0.050	6.676e-5
0.049	6.562e-5
0.048	6.457e-5
0.047	6.353e-5
0.046	6.251e-5
0.045	6.153e-5
0.044	6.058e-5
0.043	5.965e-5
0.042	5.876e-5
0.041	5.790e-5
0.040	5.707e-5
0.039	5.624e-5
0.038	5.544e-5
0.037	5.464e-5
0.036	5.390e-5
0.035	5.313e-5
0.034	5.242e-5
0.033	5.172e-5
0.032	5.104e-5
0.031	5.036e-5
0.030	4.969e-5
0.029	4.904e-5
0.028	4.843e-5
0.027	4.781e-5
0.026	4.720e-5
0.025	4.658e-5
0.024	4.600e-5
0.023	4.544e-5
0.022	4.486e-5
0.021	4.430e-5
0.020	4.378e-5
0.019	4.323e-5
0.018	4.271e-5
0.017	4.218e-5
0.016	4.169e-5
0.015	4.120e-5
0.014	4.071e-5
0.013	4.021e-5
0.012	3.975e-5
0.011	3.929e-5
0.010	3.883e-5
0.009	3.837e-5
0.008	3.791e-5
0.007	3.748e-5
0.006	3.705e-5
0.005	3.662e-5
0.004	3.622e-5
0.003	3.578e-5
0.002	3.542e-5
0.001	3.499e-5
0.000	3.459e-5
-0.001	3.419e-5
-0.002	3.382e-5
-0.003	3.342e-5
-0.004	3.305e-5
-0.005	3.268e-5
-0.006	3.231e-5
-0.007	3.194e-5
-0.008	3.160e-5
-0.009	3.123e-5
-0.010	3.089e-5
-0.011	3.056e-5
-0.012	3.022e-5
-0.013	2.988e-5
-0.014	2.954e-5
-0.015	2.920e-5
-0.016	2.890e-5
-0.017	2.856e-5
-0.018	2.825e-5
-0.019	2.794e-5
-0.020	2.763e-5
-0.021	2.730e-5
-0.022	2.702e-5
-0.023	2.671e-5
-0.024	2.640e-5
-0.025	2.610e-5
-0.026	2.582e-5
-0.027	2.554e-5
-0.028	2.527e-5
-0.029	2.496e-5
-0.030	2.468e-5
-0.031	2.440e-5
-0.032	2.416e-5
-0.033	2.388e-5
-0.034	2.360e-5
-0.035	2.333e-5
-0.036	2.308e-5
-0.037	2.281e-5
-0.038	2.256e-5
-0.039	2.228e-5
-0.040	2.204e-5
-0.041	2.179e-5
-0.042	2.154e-5
-0.043	2.133e-5
-0.044	2.108e-5
-0.045	2.084e-5
-0.046	2.059e-5
-0.047	2.034e-5
-0.048	2.013e-5
-0.049	1.988e-5
-0.050	1.967e-5
-0.051	1.945e-5
-0.052	1.921e-5
-0.053	1.899e-5
-0.054	1.878e-5
-0.055	1.856e-5
-0.056	1.835e-5
-0.057	1.813e-5
-0.058	1.791e-5
-0.059	1.770e-5
-0.060	1.748e-5
-0.061	1.727e-5
-0.062	1.708e-5
-0.063	1.687e-5
-0.064	1.665e-5
-0.065	1.647e-5
-0.066	1.625e-5
-0.067	1.607e-5
-0.068	1.585e-5
-0.069	1.567e-5
-0.070	1.548e-5
-0.071	1.527e-5
-0.072	1.508e-5
-0.073	1.490e-5
-0.074	1.472e-5
-0.075	1.453e-5
-0.076	1.435e-5
-0.077	1.417e-5
-0.078	1.400e-5
-0.079	1.382e-5
-0.080	1.365e-5
-0.081	1.347e-5
-0.082	1.329e-5
-0.083	1.312e-5
-0.084	1.295e-5
-0.085	1.278e-5
-0.086	1.261e-5
-0.087	1.244e-5
-0.088	1.228e-5
-0.089	1.211e-5
-0.090	1.194e-5
-0.091	1.178e-5
-0.092	1.162e-5
-0.093	1.146e-5
-0.094	1.131e-5
-0.095	1.115e-5
-0.096	1.099e-5
-0.097	1.084e-5
-0.098	1.068e-5
-0.099	1.053e-5
-0.100	1.038e-5
-0.101	1.023e-5
-0.102	1.008e-5
-0.103	9.927e-6
-0.104	9.782e-6
-0.105	9.635e-6
-0.106	9.487e-6
-0.107	9.346e-6
-0.108	9.201e-6
-0.109	9.060e-6
-0.110	8.921e-6
-0.111	8.780e-6
-0.112	8.644e-6
-0.113	8.503e-6
-0.114	8.368e-6
-0.115	8.235e-6
-0.116	8.100e-6
-0.117	7.968e-6
-0.118	7.835e-6
-0.119	7.703e-6
-0.120	7.580e-6
-0.121	7.445e-6
-0.122	7.322e-6
-0.123	7.199e-6
-0.124	7.070e-6
-0.125	6.946e-6
-0.126	6.823e-6
-0.127	6.700e-6
-0.128	6.577e-6
-0.129	6.451e-6
-0.130	6.331e-6
-0.131	6.214e-6
-0.132	6.098e-6
-0.133	5.984e-6
-0.134	5.867e-6
-0.135	5.753e-6
-0.136	5.639e-6
-0.137	5.519e-6
-0.138	5.406e-6
-0.139	5.295e-6
-0.140	5.184e-6
-0.141	5.073e-6
-0.142	4.972e-6
-0.143	4.861e-6
-0.144	4.760e-6
-0.145	4.649e-6
-0.146	4.541e-6
-0.147	4.434e-6
-0.148	4.329e-6
-0.149	4.224e-6
-0.150	4.123e-6
-0.151	4.021e-6
-0.152	3.926e-6
-0.153	3.825e-6
-0.154	3.729e-6
-0.155	3.631e-6
-0.156	3.532e-6
-0.157	3.434e-6
-0.158	3.336e-6
-0.159	3.240e-6
-0.160	3.148e-6
-0.161	3.056e-6
-0.162	2.960e-6
-0.163	2.874e-6
-0.164	2.782e-6
-0.165	2.693e-6
-0.166	2.603e-6
-0.167	2.508e-6
-0.168	2.422e-6
-0.169	2.327e-6
-0.170	2.241e-6
-0.171	2.154e-6
-0.172	2.065e-6
-0.173	1.985e-6
-0.174	1.905e-6
-0.175	1.822e-6
-0.176	1.742e-6
-0.177	1.659e-6
-0.178	1.576e-6
-0.179	1.490e-6
-0.180	1.410e-6
-0.181	1.333e-6
-0.182	1.253e-6
-0.183	1.171e-6
-0.184	1.109e-6
-0.185	1.027e-6
-0.186	9.524e-7
-0.187	8.783e-7
-0.188	8.005e-7
-0.189	7.276e-7
-0.190	6.528e-7
-0.191	5.799e-7
-0.192	5.132e-7
-0.193	4.415e-7
-0.194	3.711e-7
-0.195	3.034e-7
-0.196	2.284e-7
-0.197	1.595e-7
-0.198	9.087e-8
-0.199	2.105e-8
-0.200	-4.262e-8
-0.201	-1.097e-7
-0.202	-1.730e-7
-0.203	-2.376e-7
-0.204	-3.071e-7
-0.205	-3.760e-7
-0.206	-4.388e-7
-0.207	-5.021e-7
-0.208	-5.612e-7
-0.209	-6.239e-7
-0.210	-6.848e-7
-0.211	-7.461e-7
-0.212	-8.091e-7
-0.213	-8.685e-7
-0.214	-9.297e-7
-0.215	-9.940e-7
-0.216	-1.051e-6
-0.217	-1.112e-6
-0.218	-1.170e-6
-0.219	-1.225e-6
-0.220	-1.287e-6
-0.221	-1.341e-6
-0.222	-1.398e-6
-0.223	-1.456e-6
-0.224	-1.506e-6
-0.225	-1.565e-6
-0.226	-1.618e-6
-0.227	-1.671e-6
-0.228	-1.730e-6
-0.229	-1.782e-6
-0.230	-1.840e-6
-0.231	-1.894e-6
-0.232	-1.945e-6
-0.233	-2.000e-6
-0.234	-2.051e-6
-0.235	-2.099e-6
-0.236	-2.153e-6
-0.237	-2.203e-6
-0.238	-2.252e-6
-0.239	-2.306e-6
-0.240	-2.356e-6
-0.241	-2.411e-6
-0.242	-2.463e-6
-0.243	-2.512e-6
-0.244	-2.562e-6
-0.245	-2.608e-6
-0.246	-2.653e-6
-0.247	-2.706e-6
-0.248	-2.753e-6
-0.249	-2.803e-6
-0.250	-2.852e-6
-0.251	-2.898e-6
-0.252	-2.950e-6
-0.253	-3.007e-6
-0.254	-3.047e-6
-0.255	-3.099e-6
-0.256	-3.145e-6
-0.257	-3.194e-6
-0.258	-3.241e-6
-0.259	-3.287e-6
-0.260	-3.336e-6
-0.261	-3.382e-6
-0.262	-3.428e-6
-0.263	-3.474e-6
-0.264	-3.520e-6
-0.265	-3.567e-6
-0.266	-3.616e-6
-0.267	-3.662e-6
-0.268	-3.711e-6
-0.269	-3.760e-6
-0.270	-3.810e-6
-0.271	-3.859e-6
-0.272	-3.902e-6
-0.273	-3.951e-6
-0.274	-3.997e-6
-0.275	-4.043e-6
-0.276	-4.089e-6
-0.277	-4.136e-6
-0.278	-4.182e-6
-0.279	-4.231e-6
-0.280	-4.277e-6
-0.281	-4.326e-6
-0.282	-4.379e-6
-0.283	-4.425e-6
-0.284	-4.477e-6
-0.285	-4.529e-6
-0.286	-4.578e-6
-0.287	-4.631e-6
-0.288	-4.680e-6
-0.289	-4.729e-6
-0.290	-4.778e-6
-0.291	-4.828e-6
-0.292	-4.880e-6
-0.293	-4.932e-6
-0.294	-4.978e-6
-0.295	-5.034e-6
-0.296	-5.083e-6
-0.297	-5.138e-6
-0.298	-5.191e-6
-0.299	-5.243e-6
-0.300	-5.301e-6
-0.301	-5.351e-6
-0.302	-5.406e-6
-0.303	-5.464e-6
-0.304	-5.517e-6
-0.305	-5.578e-6
-0.306	-5.637e-6
-0.307	-5.698e-6
-0.308	-5.760e-6
-0.309	-5.815e-6
-0.310	-5.876e-6
-0.311	-5.935e-6
-0.312	-5.993e-6
-0.313	-6.058e-6
-0.314	-6.119e-6
-0.315	-6.181e-6
-0.316	-6.246e-6
-0.317	-6.304e-6
-0.318	-6.369e-6
-0.319	-6.436e-6
-0.320	-6.498e-6
-0.321	-6.569e-6
-0.322	-6.636e-6
-0.323	-6.707e-6
-0.324	-6.781e-6
-0.325	-6.848e-6
-0.326	-6.922e-6
-0.327	-6.999e-6
-0.328	-7.070e-6
-0.329	-7.144e-6
-0.330	-7.221e-6
-0.331	-7.294e-6
-0.332	-7.374e-6
-0.333	-7.451e-6
-0.334	-7.531e-6
-0.335	-7.608e-6
-0.336	-7.691e-6
-0.337	-7.774e-6
-0.338	-7.857e-6
-0.339	-7.946e-6
-0.340	-8.033e-6
-0.341	-8.119e-6
-0.342	-8.208e-6
-0.343	-8.300e-6
-0.344	-8.389e-6
-0.345	-8.488e-6
-0.346	-8.583e-6
-0.347	-8.682e-6
-0.348	-8.786e-6
-0.349	-8.882e-6
-0.350	-8.986e-6
-0.351	-9.091e-6
-0.352	-9.192e-6
-0.353	-9.300e-6
-0.354	-9.407e-6
