Init E (V) = -0.37
High E (V) = 2.3
Low E (V) = -1.2
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 5
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

-0.370	2.441e-6
-0.371	2.008e-6
-0.372	2.106e-6
-0.373	2.008e-6
-0.374	1.998e-6
-0.375	2.057e-6
-0.376	1.870e-6
-0.377	2.028e-6
-0.378	1.762e-6
-0.379	1.821e-6
-0.380	1.959e-6
-0.381	1.880e-6
-0.382	1.841e-6
-0.383	1.811e-6
-0.384	1.791e-6
-0.385	1.811e-6
-0.386	1.762e-6
-0.387	1.811e-6
-0.388	1.781e-6
-0.389	1.831e-6
-0.390	1.742e-6
-0.391	1.673e-6
-0.392	1.683e-6
-0.393	1.919e-6
-0.394	1.713e-6
-0.395	1.703e-6
-0.396	1.673e-6
-0.397	1.693e-6
-0.398	1.654e-6
-0.399	1.673e-6
-0.400	1.624e-6
-0.401	1.526e-6
-0.402	1.644e-6
-0.403	1.575e-6
-0.404	1.644e-6
-0.405	1.555e-6
-0.406	1.467e-6
-0.407	1.841e-6
-0.408	1.644e-6
-0.409	1.575e-6
-0.410	1.407e-6
-0.411	1.526e-6
-0.412	1.535e-6
-0.413	1.535e-6
-0.414	1.447e-6
-0.415	1.555e-6
-0.416	1.535e-6
-0.417	1.604e-6
-0.418	1.535e-6
-0.419	1.634e-6
-0.420	1.644e-6
-0.421	1.545e-6
-0.422	1.476e-6
-0.423	1.378e-6
-0.424	1.535e-6
-0.425	1.486e-6
-0.426	1.624e-6
-0.427	1.614e-6
-0.428	1.496e-6
-0.429	1.535e-6
-0.430	1.506e-6
-0.431	1.467e-6
-0.432	1.516e-6
-0.433	1.467e-6
-0.434	1.535e-6
-0.435	1.378e-6
-0.436	1.457e-6
-0.437	1.437e-6
-0.438	1.417e-6
-0.439	1.467e-6
-0.440	1.447e-6
-0.441	1.388e-6
-0.442	1.614e-6
-0.443	1.427e-6
-0.444	1.486e-6
-0.445	1.437e-6
-0.446	1.516e-6
-0.447	1.496e-6
-0.448	1.407e-6
-0.449	1.388e-6
-0.450	1.378e-6
-0.451	1.339e-6
-0.452	1.348e-6
-0.453	1.496e-6
-0.454	1.309e-6
-0.455	1.358e-6
-0.456	1.309e-6
-0.457	1.358e-6
-0.458	1.378e-6
-0.459	1.398e-6
-0.460	1.329e-6
-0.461	1.240e-6
-0.462	1.358e-6
-0.463	1.339e-6
-0.464	1.260e-6
-0.465	1.112e-6
-0.466	1.309e-6
-0.467	1.309e-6
-0.468	1.299e-6
-0.469	1.220e-6
-0.470	1.240e-6
-0.471	1.181e-6
-0.472	1.289e-6
-0.473	1.329e-6
-0.474	1.220e-6
-0.475	1.132e-6
-0.476	1.191e-6
-0.477	1.201e-6
-0.478	1.358e-6
-0.479	1.270e-6
-0.480	1.250e-6
-0.481	1.280e-6
-0.482	1.289e-6
-0.483	1.161e-6
-0.484	1.112e-6
-0.485	1.309e-6
-0.486	1.102e-6
-0.487	1.033e-6
-0.488	1.093e-6
-0.489	1.102e-6
-0.490	1.132e-6
-0.491	1.171e-6
-0.492	1.142e-6
-0.493	1.083e-6
-0.494	1.053e-6
-0.495	1.132e-6
-0.496	1.142e-6
-0.497	1.053e-6
-0.498	1.102e-6
-0.499	1.083e-6
-0.500	1.063e-6
-0.501	1.004e-6
-0.502	1.053e-6
-0.503	1.063e-6
-0.504	1.004e-6
-0.505	1.083e-6
-0.506	9.449e-7
-0.507	1.063e-6
-0.508	9.646e-7
-0.509	9.646e-7
-0.510	1.093e-6
-0.511	9.154e-7
-0.512	8.268e-7
-0.513	1.033e-6
-0.514	9.449e-7
-0.515	9.941e-7
-0.516	9.350e-7
-0.517	8.563e-7
-0.518	8.465e-7
-0.519	9.646e-7
-0.520	9.744e-7
-0.521	1.024e-6
-0.522	9.055e-7
-0.523	9.449e-7
-0.524	9.843e-7
-0.525	9.154e-7
-0.526	1.004e-6
-0.527	9.941e-7
-0.528	9.154e-7
-0.529	9.646e-7
-0.530	8.563e-7
-0.531	9.154e-7
-0.532	8.071e-7
-0.533	8.169e-7
-0.534	8.169e-7
-0.535	8.465e-7
-0.536	8.957e-7
-0.537	8.661e-7
-0.538	8.366e-7
-0.539	8.465e-7
-0.540	8.957e-7
