Init E (V) = -0.37
High E (V) = 3
Low E (V) = -1.5
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 5
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

-0.370	1.063e-6
-0.371	1.014e-6
-0.372	1.053e-6
-0.373	8.760e-7
-0.374	7.283e-7
-0.375	6.988e-7
-0.376	7.776e-7
-0.377	7.874e-7
-0.378	6.496e-7
-0.379	7.776e-7
-0.380	7.185e-7
-0.381	8.563e-7
-0.382	6.791e-7
-0.383	6.299e-7
-0.384	5.315e-7
-0.385	4.724e-7
-0.386	5.906e-7
-0.387	5.807e-7
-0.388	5.709e-7
-0.389	6.201e-7
-0.390	5.118e-7
-0.391	6.102e-7
-0.392	5.315e-7
-0.393	5.906e-7
-0.394	4.134e-7
-0.395	4.528e-7
-0.396	4.429e-7
-0.397	5.118e-7
-0.398	3.937e-7
-0.399	3.937e-7
-0.400	4.724e-7
-0.401	4.331e-7
-0.402	4.528e-7
-0.403	2.854e-7
-0.404	3.740e-7
-0.405	3.740e-7
-0.406	3.150e-7
-0.407	3.346e-7
-0.408	3.937e-7
-0.409	3.150e-7
-0.410	1.083e-7
-0.411	1.969e-7
-0.412	3.150e-7
-0.413	1.280e-7
-0.414	2.264e-7
-0.415	3.445e-7
-0.416	1.575e-7
-0.417	1.870e-7
-0.418	2.657e-7
-0.419	2.559e-7
-0.420	3.051e-7
-0.421	2.953e-7
-0.422	2.067e-7
-0.423	2.559e-7
-0.424	1.772e-7
-0.425	1.378e-7
-0.426	4.921e-8
-0.427	1.870e-7
-0.428	1.181e-7
-0.429	3.346e-7
-0.430	1.575e-7
-0.431	1.476e-7
-0.432	1.280e-7
-0.433	1.870e-7
-0.434	1.870e-7
-0.435	1.476e-7
-0.436	8.858e-8
-0.437	3.937e-8
-0.438	4.693e-13
-0.439	2.953e-8
-0.440	-5.905e-8
-0.441	8.858e-8
-0.442	3.937e-8
-0.443	8.858e-8
-0.444	-9.842e-9
-0.445	-4.921e-8
-0.446	-6.890e-8
-0.447	4.693e-13
-0.448	4.693e-13
-0.449	3.937e-8
-0.450	-1.083e-7
-0.451	2.953e-8
-0.452	-1.181e-7
-0.453	4.693e-13
-0.454	-1.969e-7
-0.455	-2.854e-7
-0.456	-7.874e-8
-0.457	-4.921e-8
-0.458	-1.280e-7
-0.459	-1.280e-7
-0.460	-1.181e-7
-0.461	-1.378e-7
-0.462	-3.150e-7
-0.463	-1.870e-7
-0.464	-2.362e-7
-0.465	-1.969e-7
-0.466	-1.280e-7
-0.467	-1.870e-7
-0.468	-1.181e-7
-0.469	-1.772e-7
-0.470	-2.165e-7
-0.471	-2.953e-7
-0.472	-1.772e-7
-0.473	-3.839e-7
-0.474	-3.150e-7
-0.475	-3.740e-7
-0.476	-2.165e-7
-0.477	-1.181e-7
-0.478	-3.346e-7
-0.479	-3.248e-7
-0.480	-2.953e-7
-0.481	-3.839e-7
-0.482	-2.559e-7
-0.483	-3.248e-7
-0.484	-3.937e-7
-0.485	-2.756e-7
-0.486	-4.134e-7
-0.487	-3.740e-7
-0.488	-5.413e-7
-0.489	-4.331e-7
-0.490	-5.709e-7
-0.491	-5.118e-7
-0.492	-4.528e-7
-0.493	-4.626e-7
-0.494	-4.823e-7
-0.495	-3.150e-7
-0.496	-5.118e-7
-0.497	-5.217e-7
-0.498	-4.921e-7
-0.499	-5.413e-7
-0.500	-5.118e-7
-0.501	-5.020e-7
-0.502	-4.823e-7
-0.503	-5.512e-7
-0.504	-5.020e-7
-0.505	-5.413e-7
-0.506	-5.906e-7
-0.507	-5.709e-7
-0.508	-6.398e-7
-0.509	-5.610e-7
-0.510	-6.299e-7
-0.511	-6.594e-7
-0.512	-5.807e-7
-0.513	-6.496e-7
-0.514	-6.004e-7
-0.515	-6.299e-7
-0.516	-7.579e-7
-0.517	-7.579e-7
-0.518	-7.776e-7
-0.519	-6.299e-7
-0.520	-6.102e-7
-0.521	-6.398e-7
-0.522	-7.185e-7
-0.523	-6.890e-7
-0.524	-7.480e-7
-0.525	-7.579e-7
-0.526	-8.268e-7
-0.527	-6.398e-7
-0.528	-8.465e-7
