Init E (V) = -0.17
High E (V) = 0.3
Low E (V) = -1.2
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

-0.170	-1.660e-3
-0.171	-1.685e-3
-0.172	-1.701e-3
-0.173	-1.711e-3
-0.174	-1.722e-3
-0.175	-1.730e-3
-0.176	-1.739e-3
-0.177	-1.746e-3
-0.178	-1.754e-3
-0.179	-1.760e-3
-0.180	-1.768e-3
-0.181	-1.773e-3
-0.182	-1.781e-3
-0.183	-1.786e-3
-0.184	-1.792e-3
-0.185	-1.797e-3
-0.186	-1.804e-3
-0.187	-1.808e-3
-0.188	-1.815e-3
-0.189	-1.819e-3
-0.190	-1.825e-3
-0.191	-1.829e-3
-0.192	-1.835e-3
-0.193	-1.839e-3
-0.194	-1.845e-3
-0.195	-1.849e-3
-0.196	-1.855e-3
-0.197	-1.858e-3
-0.198	-1.864e-3
-0.199	-1.868e-3
-0.200	-1.873e-3
-0.201	-1.877e-3
-0.202	-1.882e-3
-0.203	-1.886e-3
-0.204	-1.891e-3
-0.205	-1.895e-3
-0.206	-1.900e-3
-0.207	-1.904e-3
-0.208	-1.909e-3
-0.209	-1.912e-3
-0.210	-1.918e-3
-0.211	-1.921e-3
-0.212	-1.926e-3
-0.213	-1.930e-3
-0.214	-1.935e-3
-0.215	-1.938e-3
-0.216	-1.943e-3
-0.217	-1.947e-3
-0.218	-1.952e-3
-0.219	-1.955e-3
-0.220	-1.961e-3
-0.221	-1.964e-3
-0.222	-1.969e-3
-0.223	-1.972e-3
-0.224	-1.978e-3
-0.225	-1.981e-3
-0.226	-1.986e-3
-0.227	-1.990e-3
-0.228	-1.995e-3
-0.229	-1.998e-3
-0.230	-2.004e-3
-0.231	-2.007e-3
-0.232	-2.012e-3
-0.233	-2.016e-3
-0.234	-2.021e-3
-0.235	-2.024e-3
-0.236	-2.030e-3
-0.237	-2.033e-3
-0.238	-2.039e-3
-0.239	-2.042e-3
-0.240	-2.048e-3
-0.241	-2.052e-3
-0.242	-2.057e-3
-0.243	-2.061e-3
-0.244	-2.066e-3
-0.245	-2.070e-3
-0.246	-2.075e-3
-0.247	-2.079e-3
-0.248	-2.085e-3
-0.249	-2.089e-3
-0.250	-2.094e-3
-0.251	-2.098e-3
-0.252	-2.104e-3
-0.253	-2.108e-3
-0.254	-2.113e-3
-0.255	-2.117e-3
-0.256	-2.123e-3
-0.257	-2.127e-3
-0.258	-2.133e-3
-0.259	-2.137e-3
-0.260	-2.143e-3
-0.261	-2.147e-3
-0.262	-2.153e-3
-0.263	-2.157e-3
-0.264	-2.163e-3
-0.265	-2.167e-3
-0.266	-2.173e-3
-0.267	-2.177e-3
-0.268	-2.184e-3
-0.269	-2.188e-3
-0.270	-2.194e-3
-0.271	-2.198e-3
-0.272	-2.204e-3
-0.273	-2.209e-3
-0.274	-2.215e-3
-0.275	-2.219e-3
-0.276	-2.226e-3
-0.277	-2.230e-3
-0.278	-2.236e-3
-0.279	-2.241e-3
-0.280	-2.247e-3
-0.281	-2.252e-3
-0.282	-2.258e-3
-0.283	-2.263e-3
-0.284	-2.269e-3
-0.285	-2.273e-3
-0.286	-2.280e-3
-0.287	-2.284e-3
-0.288	-2.291e-3
-0.289	-2.295e-3
-0.290	-2.302e-3
-0.291	-2.306e-3
-0.292	-2.313e-3
-0.293	-2.317e-3
-0.294	-2.324e-3
-0.295	-2.328e-3
-0.296	-2.334e-3
-0.297	-2.339e-3
-0.298	-2.345e-3
-0.299	-2.350e-3
-0.300	-2.356e-3
-0.301	-2.361e-3
-0.302	-2.367e-3
-0.303	-2.372e-3
-0.304	-2.378e-3
-0.305	-2.383e-3
-0.306	-2.388e-3
-0.307	-2.393e-3
-0.308	-2.400e-3
-0.309	-2.404e-3
-0.310	-2.410e-3
-0.311	-2.415e-3
-0.312	-2.421e-3
-0.313	-2.425e-3
-0.314	-2.431e-3
-0.315	-2.436e-3
-0.316	-2.442e-3
-0.317	-2.446e-3
-0.318	-2.452e-3
-0.319	-2.456e-3
-0.320	-2.462e-3
-0.321	-2.466e-3
-0.322	-2.472e-3
-0.323	-2.476e-3
-0.324	-2.482e-3
-0.325	-2.486e-3
-0.326	-2.491e-3
-0.327	-2.495e-3
-0.328	-2.501e-3
-0.329	-2.505e-3
-0.330	-2.510e-3
-0.331	-2.514e-3
-0.332	-2.519e-3
-0.333	-2.523e-3
-0.334	-2.528e-3
-0.335	-2.532e-3
-0.336	-2.537e-3
-0.337	-2.540e-3
-0.338	-2.545e-3
-0.339	-2.549e-3
-0.340	-2.554e-3
-0.341	-2.557e-3
-0.342	-2.562e-3
-0.343	-2.565e-3
-0.344	-2.570e-3
-0.345	-2.572e-3
-0.346	-2.577e-3
-0.347	-2.580e-3
-0.348	-2.584e-3
-0.349	-2.587e-3
-0.350	-2.591e-3
-0.351	-2.594e-3
-0.352	-2.598e-3
-0.353	-2.601e-3
-0.354	-2.604e-3
-0.355	-2.607e-3
-0.356	-2.611e-3
-0.357	-2.613e-3
-0.358	-2.617e-3
-0.359	-2.619e-3
-0.360	-2.622e-3
-0.361	-2.624e-3
-0.362	-2.627e-3
-0.363	-2.629e-3
-0.364	-2.633e-3
-0.365	-2.634e-3
-0.366	-2.637e-3
-0.367	-2.639e-3
-0.368	-2.641e-3
-0.369	-2.643e-3
-0.370	-2.645e-3
-0.371	-2.647e-3
-0.372	-2.649e-3
-0.373	-2.650e-3
-0.374	-2.653e-3
-0.375	-2.653e-3
-0.376	-2.656e-3
-0.377	-2.656e-3
-0.378	-2.658e-3
-0.379	-2.659e-3
-0.380	-2.661e-3
-0.381	-2.661e-3
-0.382	-2.663e-3
-0.383	-2.663e-3
-0.384	-2.665e-3
-0.385	-2.665e-3
-0.386	-2.666e-3
-0.387	-2.666e-3
-0.388	-2.667e-3
-0.389	-2.667e-3
-0.390	-2.668e-3
-0.391	-2.668e-3
-0.392	-2.669e-3
-0.393	-2.668e-3
-0.394	-2.669e-3
-0.395	-2.668e-3
-0.396	-2.669e-3
-0.397	-2.667e-3
-0.398	-2.668e-3
-0.399	-2.667e-3
-0.400	-2.667e-3
-0.401	-2.666e-3
-0.402	-2.666e-3
-0.403	-2.665e-3
-0.404	-2.665e-3
-0.405	-2.663e-3
-0.406	-2.663e-3
-0.407	-2.661e-3
-0.408	-2.661e-3
-0.409	-2.659e-3
-0.410	-2.659e-3
-0.411	-2.657e-3
-0.412	-2.656e-3
-0.413	-2.654e-3
-0.414	-2.654e-3
-0.415	-2.651e-3
-0.416	-2.651e-3
-0.417	-2.648e-3
-0.418	-2.647e-3
-0.419	-2.645e-3
-0.420	-2.644e-3
-0.421	-2.641e-3
-0.422	-2.640e-3
-0.423	-2.638e-3
-0.424	-2.636e-3
-0.425	-2.633e-3
-0.426	-2.632e-3
-0.427	-2.629e-3
-0.428	-2.627e-3
-0.429	-2.625e-3
