Init E (V) = -0.4
High E (V) = 0
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 20
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

-0.400	-4.363e-5
-0.401	-4.505e-5
-0.402	-4.603e-5
-0.403	-4.695e-5
-0.404	-4.788e-5
-0.405	-4.877e-5
-0.406	-4.966e-5
-0.407	-5.052e-5
-0.408	-5.144e-5
-0.409	-5.240e-5
-0.410	-5.332e-5
-0.411	-5.427e-5
-0.412	-5.526e-5
-0.413	-5.624e-5
-0.414	-5.729e-5
-0.415	-5.833e-5
-0.416	-5.941e-5
-0.417	-6.049e-5
-0.418	-6.163e-5
-0.419	-6.276e-5
-0.420	-6.399e-5
-0.421	-6.522e-5
-0.422	-6.649e-5
-0.423	-6.781e-5
-0.424	-6.913e-5
-0.425	-7.055e-5
-0.426	-7.196e-5
-0.427	-7.344e-5
-0.428	-7.497e-5
-0.429	-7.654e-5
-0.430	-7.817e-5
-0.431	-7.983e-5
-0.432	-8.159e-5
-0.433	-8.337e-5
-0.434	-8.525e-5
-0.435	-8.715e-5
-0.436	-8.912e-5
-0.437	-9.118e-5
-0.438	-9.331e-5
-0.439	-9.552e-5
-0.440	-9.777e-5
-0.441	-1.001e-4
-0.442	-1.026e-4
-0.443	-1.051e-4
-0.444	-1.077e-4
-0.445	-1.104e-4
-0.446	-1.131e-4
-0.447	-1.161e-4
-0.448	-1.190e-4
-0.449	-1.221e-4
-0.450	-1.253e-4
-0.451	-1.286e-4
-0.452	-1.320e-4
-0.453	-1.355e-4
-0.454	-1.392e-4
-0.455	-1.429e-4
-0.456	-1.468e-4
-0.457	-1.509e-4
-0.458	-1.550e-4
-0.459	-1.593e-4
-0.460	-1.636e-4
-0.461	-1.682e-4
-0.462	-1.728e-4
-0.463	-1.776e-4
-0.464	-1.825e-4
-0.465	-1.876e-4
-0.466	-1.928e-4
-0.467	-1.981e-4
-0.468	-2.036e-4
-0.469	-2.092e-4
-0.470	-2.150e-4
-0.471	-2.208e-4
-0.472	-2.268e-4
-0.473	-2.329e-4
-0.474	-2.392e-4
-0.475	-2.455e-4
-0.476	-2.520e-4
-0.477	-2.586e-4
-0.478	-2.653e-4
-0.479	-2.721e-4
-0.480	-2.789e-4
-0.481	-2.859e-4
-0.482	-2.930e-4
-0.483	-3.001e-4
-0.484	-3.072e-4
-0.485	-3.148e-4
-0.486	-3.222e-4
-0.487	-3.296e-4
-0.488	-3.367e-4
-0.489	-3.440e-4
-0.490	-3.514e-4
-0.491	-3.588e-4
-0.492	-3.662e-4
-0.493	-3.736e-4
-0.494	-3.806e-4
-0.495	-3.880e-4
-0.496	-3.951e-4
-0.497	-4.025e-4
-0.498	-4.093e-4
-0.499	-4.160e-4
-0.500	-4.231e-4
-0.501	-4.296e-4
