Init E (V) = -0.4
High E (V) = -0.2
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

-0.400	-4.259e-5
-0.401	-4.351e-5
-0.402	-4.415e-5
-0.403	-4.471e-5
-0.404	-4.523e-5
-0.405	-4.575e-5
-0.406	-4.622e-5
-0.407	-4.671e-5
-0.408	-4.717e-5
-0.409	-4.769e-5
-0.410	-4.812e-5
-0.411	-4.858e-5
-0.412	-4.901e-5
-0.413	-4.948e-5
-0.414	-4.991e-5
-0.415	-5.037e-5
-0.416	-5.080e-5
-0.417	-5.126e-5
-0.418	-5.169e-5
-0.419	-5.215e-5
-0.420	-5.258e-5
-0.421	-5.307e-5
-0.422	-5.351e-5
-0.423	-5.400e-5
-0.424	-5.443e-5
-0.425	-5.495e-5
-0.426	-5.541e-5
-0.427	-5.590e-5
-0.428	-5.643e-5
-0.429	-5.692e-5
-0.430	-5.747e-5
-0.431	-5.800e-5
-0.432	-5.855e-5
-0.433	-5.910e-5
-0.434	-5.969e-5
-0.435	-6.030e-5
-0.436	-6.092e-5
-0.437	-6.153e-5
-0.438	-6.221e-5
-0.439	-6.286e-5
-0.440	-6.356e-5
-0.441	-6.430e-5
-0.442	-6.507e-5
-0.443	-6.581e-5
-0.444	-6.664e-5
-0.445	-6.744e-5
-0.446	-6.833e-5
-0.447	-6.922e-5
-0.448	-7.015e-5
-0.449	-7.113e-5
-0.450	-7.214e-5
-0.451	-7.316e-5
-0.452	-7.427e-5
-0.453	-7.537e-5
-0.454	-7.654e-5
-0.455	-7.774e-5
-0.456	-7.900e-5
-0.457	-8.030e-5
-0.458	-8.168e-5
-0.459	-8.303e-5
-0.460	-8.454e-5
-0.461	-8.602e-5
-0.462	-8.762e-5
-0.463	-8.922e-5
-0.464	-9.091e-5
-0.465	-9.263e-5
-0.466	-9.441e-5
-0.467	-9.626e-5
-0.468	-9.823e-5
-0.469	-1.001e-4
-0.470	-1.022e-4
-0.471	-1.043e-4
-0.472	-1.063e-4
-0.473	-1.086e-4
-0.474	-1.108e-4
-0.475	-1.131e-4
-0.476	-1.155e-4
-0.477	-1.179e-4
-0.478	-1.203e-4
-0.479	-1.228e-4
-0.480	-1.254e-4
-0.481	-1.280e-4
-0.482	-1.306e-4
-0.483	-1.333e-4
-0.484	-1.359e-4
-0.485	-1.386e-4
-0.486	-1.414e-4
-0.487	-1.441e-4
-0.488	-1.469e-4
-0.489	-1.496e-4
-0.490	-1.524e-4
-0.491	-1.551e-4
-0.492	-1.579e-4
-0.493	-1.606e-4
-0.494	-1.633e-4
-0.495	-1.660e-4
-0.496	-1.686e-4
-0.497	-1.711e-4
-0.498	-1.737e-4
-0.499	-1.761e-4
-0.500	-1.785e-4
-0.501	-1.808e-4
-0.502	-1.831e-4
-0.503	-1.852e-4
-0.504	-1.873e-4
-0.505	-1.893e-4
-0.506	-1.912e-4
-0.507	-1.930e-4
-0.508	-1.947e-4
-0.509	-1.963e-4
-0.510	-1.976e-4
-0.511	-1.990e-4
-0.512	-2.002e-4
-0.513	-2.013e-4
-0.514	-2.022e-4
-0.515	-2.030e-4
-0.516	-2.036e-4
-0.517	-2.042e-4
-0.518	-2.046e-4
-0.519	-2.049e-4
-0.520	-2.050e-4
-0.521	-2.050e-4
-0.522	-2.049e-4
-0.523	-2.046e-4
-0.524	-2.042e-4
-0.525	-2.037e-4
-0.526	-2.031e-4
-0.527	-2.024e-4
-0.528	-2.015e-4
-0.529	-2.006e-4
-0.530	-1.995e-4
-0.531	-1.984e-4
-0.532	-1.972e-4
-0.533	-1.959e-4
-0.534	-1.945e-4
-0.535	-1.931e-4
-0.536	-1.915e-4
-0.537	-1.900e-4
-0.538	-1.884e-4
-0.539	-1.868e-4
-0.540	-1.851e-4
-0.541	-1.835e-4
-0.542	-1.818e-4
-0.543	-1.802e-4
-0.544	-1.784e-4
-0.545	-1.768e-4
-0.546	-1.751e-4
-0.547	-1.736e-4
-0.548	-1.719e-4
-0.549	-1.704e-4
-0.550	-1.688e-4
-0.551	-1.673e-4
-0.552	-1.659e-4
-0.553	-1.645e-4
-0.554	-1.631e-4
-0.555	-1.618e-4
-0.556	-1.605e-4
-0.557	-1.593e-4
-0.558	-1.581e-4
-0.559	-1.570e-4
-0.560	-1.559e-4
-0.561	-1.549e-4
-0.562	-1.539e-4
-0.563	-1.529e-4
-0.564	-1.520e-4
-0.565	-1.511e-4
-0.566	-1.503e-4
-0.567	-1.495e-4
-0.568	-1.487e-4
-0.569	-1.480e-4
-0.570	-1.473e-4
-0.571	-1.466e-4
-0.572	-1.459e-4
-0.573	-1.453e-4
-0.574	-1.447e-4
-0.575	-1.441e-4
-0.576	-1.436e-4
-0.577	-1.430e-4
-0.578	-1.425e-4
-0.579	-1.420e-4
-0.580	-1.415e-4
-0.581	-1.410e-4
-0.582	-1.406e-4
-0.583	-1.401e-4
-0.584	-1.396e-4
-0.585	-1.393e-4
-0.586	-1.388e-4
-0.587	-1.384e-4
-0.588	-1.380e-4
-0.589	-1.376e-4
-0.590	-1.373e-4
-0.591	-1.369e-4
-0.592	-1.365e-4
-0.593	-1.362e-4
-0.594	-1.358e-4
-0.595	-1.355e-4
-0.596	-1.352e-4
-0.597	-1.349e-4
-0.598	-1.346e-4
-0.599	-1.343e-4
-0.600	-1.340e-4
-0.601	-1.337e-4
-0.602	-1.334e-4
-0.603	-1.331e-4
-0.604	-1.329e-4
-0.605	-1.326e-4
-0.606	-1.324e-4
-0.607	-1.322e-4
-0.608	-1.320e-4
-0.609	-1.317e-4
-0.610	-1.315e-4
-0.611	-1.313e-4
-0.612	-1.310e-4
-0.613	-1.308e-4
-0.614	-1.306e-4
-0.615	-1.305e-4
-0.616	-1.302e-4
-0.617	-1.301e-4
-0.618	-1.299e-4
-0.619	-1.296e-4
-0.620	-1.295e-4
-0.621	-1.293e-4
-0.622	-1.291e-4
-0.623	-1.290e-4
-0.624	-1.288e-4
-0.625	-1.286e-4
-0.626	-1.285e-4
