Init E (V) = -0.55
High E (V) = -0.2
Low E (V) = -0.55
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

-0.550	-7.402e-5
-0.549	-7.224e-5
-0.548	-7.082e-5
-0.547	-6.959e-5
-0.546	-6.836e-5
-0.545	-6.732e-5
-0.544	-6.615e-5
-0.543	-6.507e-5
-0.542	-6.409e-5
-0.541	-6.310e-5
-0.540	-6.215e-5
-0.539	-6.126e-5
-0.538	-6.036e-5
-0.537	-5.950e-5
-0.536	-5.867e-5
-0.535	-5.790e-5
-0.534	-5.710e-5
-0.533	-5.633e-5
-0.532	-5.560e-5
-0.531	-5.486e-5
-0.530	-5.412e-5
-0.529	-5.344e-5
-0.528	-5.277e-5
-0.527	-5.212e-5
-0.526	-5.144e-5
-0.525	-5.080e-5
-0.524	-5.021e-5
-0.523	-4.954e-5
-0.522	-4.895e-5
-0.521	-4.837e-5
-0.520	-4.775e-5
-0.519	-4.720e-5
-0.518	-4.662e-5
-0.517	-4.609e-5
-0.516	-4.551e-5
-0.515	-4.499e-5
-0.514	-4.446e-5
-0.513	-4.391e-5
-0.512	-4.339e-5
-0.511	-4.292e-5
-0.510	-4.237e-5
-0.509	-4.191e-5
-0.508	-4.136e-5
-0.507	-4.089e-5
-0.506	-4.040e-5
-0.505	-3.991e-5
-0.504	-3.948e-5
-0.503	-3.899e-5
-0.502	-3.853e-5
-0.501	-3.806e-5
-0.500	-3.760e-5
-0.499	-3.717e-5
-0.498	-3.671e-5
-0.497	-3.625e-5
-0.496	-3.579e-5
-0.495	-3.542e-5
-0.494	-3.493e-5
-0.493	-3.450e-5
-0.492	-3.404e-5
-0.491	-3.364e-5
-0.490	-3.324e-5
-0.489	-3.277e-5
-0.488	-3.237e-5
-0.487	-3.188e-5
-0.486	-3.148e-5
-0.485	-3.105e-5
-0.484	-3.065e-5
-0.483	-3.022e-5
-0.482	-2.979e-5
-0.481	-2.936e-5
-0.480	-2.893e-5
-0.479	-2.856e-5
-0.478	-2.807e-5
-0.477	-2.773e-5
-0.476	-2.724e-5
-0.475	-2.687e-5
-0.474	-2.641e-5
-0.473	-2.598e-5
-0.472	-2.555e-5
-0.471	-2.515e-5
-0.470	-2.465e-5
-0.469	-2.425e-5
-0.468	-2.376e-5
-0.467	-2.336e-5
-0.466	-2.293e-5
-0.465	-2.244e-5
-0.464	-2.198e-5
-0.463	-2.155e-5
-0.462	-2.106e-5
-0.461	-2.063e-5
-0.460	-2.013e-5
-0.459	-1.967e-5
-0.458	-1.915e-5
-0.457	-1.866e-5
-0.456	-1.816e-5
-0.455	-1.767e-5
-0.454	-1.715e-5
-0.453	-1.669e-5
-0.452	-1.610e-5
-0.451	-1.558e-5
-0.450	-1.503e-5
-0.449	-1.450e-5
-0.448	-1.389e-5
-0.447	-1.330e-5
-0.446	-1.273e-5
-0.445	-1.218e-5
-0.444	-1.156e-5
-0.443	-1.094e-5
-0.442	-1.034e-5
-0.441	-9.687e-6
-0.440	-9.091e-6
-0.439	-8.392e-6
-0.438	-7.710e-6
-0.437	-7.027e-6
-0.436	-6.338e-6
-0.435	-5.597e-6
-0.434	-4.932e-6
-0.433	-4.102e-6
-0.432	-3.419e-6
-0.431	-2.613e-6
-0.430	-1.826e-6
-0.429	-1.008e-6
-0.428	-1.801e-7
-0.427	6.596e-7
-0.426	1.462e-6
-0.425	2.382e-6
-0.424	3.234e-6
-0.423	4.169e-6
-0.422	5.083e-6
-0.421	6.042e-6
-0.420	6.993e-6
-0.419	7.971e-6
-0.418	8.973e-6
-0.417	9.979e-6
-0.416	1.105e-5
-0.415	1.206e-5
-0.414	1.319e-5
-0.413	1.425e-5
-0.412	1.543e-5
-0.411	1.651e-5
-0.410	1.778e-5
-0.409	1.891e-5
-0.408	2.013e-5
-0.407	2.134e-5
-0.406	2.262e-5
-0.405	2.384e-5
-0.404	2.517e-5
-0.403	2.646e-5
-0.402	2.777e-5
-0.401	2.916e-5
-0.400	3.059e-5
-0.399	3.194e-5
-0.398	3.336e-5
-0.397	3.477e-5
-0.396	3.625e-5
-0.395	3.769e-5
-0.394	3.923e-5
-0.393	4.077e-5
-0.392	4.227e-5
-0.391	4.391e-5
-0.390	4.550e-5
-0.389	4.707e-5
-0.388	4.876e-5
-0.387	5.039e-5
-0.386	5.209e-5
-0.385	5.375e-5
-0.384	5.550e-5
-0.383	5.722e-5
-0.382	5.901e-5
-0.381	6.073e-5
-0.380	6.261e-5
-0.379	6.436e-5
-0.378	6.620e-5
-0.377	6.805e-5
-0.376	6.990e-5
-0.375	7.180e-5
-0.374	7.374e-5
-0.373	7.562e-5
-0.372	7.762e-5
-0.371	7.958e-5
-0.370	8.155e-5
-0.369	8.352e-5
-0.368	8.552e-5
-0.367	8.755e-5
-0.366	8.964e-5
-0.365	9.167e-5
-0.364	9.379e-5
-0.363	9.586e-5
-0.362	9.795e-5
-0.361	1.001e-4
-0.360	1.022e-4
-0.359	1.044e-4
-0.358	1.066e-4
-0.357	1.087e-4
-0.356	1.109e-4
-0.355	1.131e-4
-0.354	1.153e-4
-0.353	1.175e-4
-0.352	1.198e-4
-0.351	1.220e-4
-0.350	1.243e-4
-0.349	1.265e-4
-0.348	1.288e-4
-0.347	1.310e-4
-0.346	1.333e-4
-0.345	1.356e-4
-0.344	1.378e-4
-0.343	1.401e-4
-0.342	1.424e-4
-0.341	1.446e-4
-0.340	1.469e-4
-0.339	1.492e-4
-0.338	1.514e-4
-0.337	1.537e-4
-0.336	1.559e-4
-0.335	1.582e-4
-0.334	1.604e-4
-0.333	1.626e-4
-0.332	1.649e-4
-0.331	1.670e-4
-0.330	1.692e-4
-0.329	1.714e-4
-0.328	1.735e-4
-0.327	1.757e-4
-0.326	1.778e-4
-0.325	1.798e-4
-0.324	1.820e-4
-0.323	1.840e-4
-0.322	1.860e-4
-0.321	1.881e-4
-0.320	1.901e-4
-0.319	1.921e-4
-0.318	1.941e-4
-0.317	1.961e-4
-0.316	1.980e-4
-0.315	1.999e-4
-0.314	2.019e-4
-0.313	2.038e-4
-0.312	2.056e-4
-0.311	2.074e-4
-0.310	2.093e-4
-0.309	2.111e-4
-0.308	2.130e-4
-0.307	2.148e-4
-0.306	2.166e-4
-0.305	2.184e-4
-0.304	2.201e-4
-0.303	2.218e-4
-0.302	2.235e-4
-0.301	2.252e-4
-0.300	2.269e-4
-0.299	2.285e-4
-0.298	2.302e-4
-0.297	2.319e-4
-0.296	2.335e-4
-0.295	2.351e-4
-0.294	2.367e-4
-0.293	2.382e-4
-0.292	2.399e-4
-0.291	2.413e-4
-0.290	2.429e-4
-0.289	2.445e-4
-0.288	2.460e-4
-0.287	2.476e-4
-0.286	2.491e-4
-0.285	2.505e-4
-0.284	2.521e-4
-0.283	2.535e-4
-0.282	2.550e-4
-0.281	2.565e-4
-0.280	2.579e-4
-0.279	2.593e-4
-0.278	2.608e-4
-0.277	2.622e-4
-0.276	2.637e-4
-0.275	2.651e-4
-0.274	2.665e-4
-0.273	2.680e-4
-0.272	2.693e-4
-0.271	2.708e-4
-0.270	2.721e-4
-0.269	2.735e-4
-0.268	2.750e-4
-0.267	2.763e-4
-0.266	2.777e-4
-0.265	2.791e-4
-0.264	2.804e-4
-0.263	2.819e-4
-0.262	2.833e-4
-0.261	2.847e-4
-0.260	2.861e-4
-0.259	2.874e-4
-0.258	2.888e-4
-0.257	2.902e-4
-0.256	2.916e-4
-0.255	2.931e-4
-0.254	2.944e-4
-0.253	2.958e-4
-0.252	2.973e-4
-0.251	2.986e-4
-0.250	3.001e-4
-0.249	3.015e-4
-0.248	3.031e-4
-0.247	3.043e-4
-0.246	3.056e-4
-0.245	3.071e-4
-0.244	3.086e-4
-0.243	3.099e-4
-0.242	3.114e-4
-0.241	3.129e-4
-0.240	3.142e-4
-0.239	3.160e-4
-0.238	3.172e-4
-0.237	3.188e-4
-0.236	3.203e-4
-0.235	3.219e-4
-0.234	3.234e-4
-0.233	3.249e-4
-0.232	3.262e-4
-0.231	3.280e-4
-0.230	3.296e-4
-0.229	3.311e-4
-0.228	3.326e-4
-0.227	3.342e-4
-0.226	3.360e-4
-0.225	3.375e-4
-0.224	3.391e-4
-0.223	3.409e-4
-0.222	3.425e-4
-0.221	3.443e-4
-0.220	3.462e-4
-0.219	3.477e-4
-0.218	3.495e-4
-0.217	3.514e-4
-0.216	3.532e-4
-0.215	3.548e-4
-0.214	3.566e-4
-0.213	3.585e-4
-0.212	3.606e-4
-0.211	3.625e-4
-0.210	3.646e-4
-0.209	3.665e-4
-0.208	3.686e-4
-0.207	3.708e-4
-0.206	3.729e-4
-0.205	3.751e-4
-0.204	3.772e-4
-0.203	3.794e-4
-0.202	3.818e-4
-0.201	3.840e-4
-0.200	3.781e-4
-0.201	3.609e-4
-0.202	3.468e-4
-0.203	3.339e-4
-0.204	3.222e-4
-0.205	3.111e-4
-0.206	3.006e-4
-0.207	2.911e-4
-0.208	2.819e-4
-0.209	2.733e-4
-0.210	2.650e-4
-0.211	2.570e-4
-0.212	2.493e-4
-0.213	2.422e-4
-0.214	2.354e-4
-0.215	2.284e-4
-0.216	2.219e-4
-0.217	2.157e-4
-0.218	2.099e-4
-0.219	2.041e-4
-0.220	1.982e-4
-0.221	1.930e-4
-0.222	1.878e-4
-0.223	1.825e-4
-0.224	1.776e-4
-0.225	1.727e-4
-0.226	1.681e-4
-0.227	1.638e-4
-0.228	1.592e-4
-0.229	1.548e-4
-0.230	1.505e-4
-0.231	1.462e-4
-0.232	1.425e-4
-0.233	1.386e-4
-0.234	1.349e-4
-0.235	1.312e-4
-0.236	1.276e-4
-0.237	1.240e-4
-0.238	1.206e-4
-0.239	1.172e-4
-0.240	1.139e-4
-0.241	1.106e-4
-0.242	1.075e-4
-0.243	1.043e-4
-0.244	1.013e-4
-0.245	9.829e-5
-0.246	9.539e-5
-0.247	9.247e-5
-0.248	8.973e-5
-0.249	8.690e-5
-0.250	8.423e-5
-0.251	8.158e-5
-0.252	7.897e-5
-0.253	7.642e-5
-0.254	7.389e-5
-0.255	7.140e-5
-0.256	6.900e-5
-0.257	6.660e-5
-0.258	6.424e-5
-0.259	6.196e-5
-0.260	5.965e-5
-0.261	5.744e-5
-0.262	5.522e-5
-0.263	5.304e-5
-0.264	5.092e-5
-0.265	4.883e-5
-0.266	4.673e-5
-0.267	4.474e-5
-0.268	4.267e-5
-0.269	4.074e-5
-0.270	3.871e-5
-0.271	3.680e-5
-0.272	3.489e-5
-0.273	3.302e-5
-0.274	3.114e-5
-0.275	2.930e-5
-0.276	2.745e-5
-0.277	2.570e-5
-0.278	2.388e-5
-0.279	2.213e-5
-0.280	2.038e-5
-0.281	1.865e-5
-0.282	1.693e-5
-0.283	1.524e-5
-0.284	1.352e-5
-0.285	1.192e-5
-0.286	1.020e-5
-0.287	8.617e-6
-0.288	6.983e-6
-0.289	5.347e-6
-0.290	3.738e-6
-0.291	2.176e-6
-0.292	5.550e-7
-0.293	-1.008e-6
-0.294	-2.598e-6
-0.295	-4.182e-6
-0.296	-5.710e-6
-0.297	-7.316e-6
-0.298	-8.829e-6
-0.299	-1.039e-5
-0.300	-1.193e-5
-0.301	-1.348e-5
-0.302	-1.501e-5
-0.303	-1.656e-5
-0.304	-1.810e-5
-0.305	-1.964e-5
-0.306	-2.118e-5
-0.307	-2.275e-5
-0.308	-2.432e-5
-0.309	-2.581e-5
-0.310	-2.739e-5
-0.311	-2.892e-5
-0.312	-3.056e-5
-0.313	-3.210e-5
-0.314	-3.360e-5
-0.315	-3.520e-5
-0.316	-3.677e-5
-0.317	-3.837e-5
-0.318	-3.991e-5
-0.319	-4.154e-5
-0.320	-4.308e-5
-0.321	-4.468e-5
-0.322	-4.631e-5
-0.323	-4.788e-5
-0.324	-4.957e-5
-0.325	-5.114e-5
-0.326	-5.283e-5
-0.327	-5.446e-5
-0.328	-5.609e-5
-0.329	-5.775e-5
-0.330	-5.944e-5
-0.331	-6.110e-5
-0.332	-6.282e-5
-0.333	-6.452e-5
-0.334	-6.621e-5
-0.335	-6.793e-5
-0.336	-6.962e-5
-0.337	-7.138e-5
-0.338	-7.313e-5
-0.339	-7.485e-5
-0.340	-7.660e-5
-0.341	-7.839e-5
-0.342	-8.014e-5
-0.343	-8.193e-5
-0.344	-8.368e-5
-0.345	-8.549e-5
-0.346	-8.728e-5
-0.347	-8.903e-5
-0.348	-9.088e-5
-0.349	-9.260e-5
-0.350	-9.444e-5
-0.351	-9.623e-5
-0.352	-9.804e-5
-0.353	-9.983e-5
-0.354	-1.016e-4
-0.355	-1.034e-4
-0.356	-1.052e-4
-0.357	-1.070e-4
-0.358	-1.088e-4
-0.359	-1.106e-4
-0.360	-1.123e-4
-0.361	-1.141e-4
-0.362	-1.158e-4
-0.363	-1.175e-4
-0.364	-1.192e-4
-0.365	-1.209e-4
-0.366	-1.226e-4
-0.367	-1.242e-4
-0.368	-1.259e-4
-0.369	-1.275e-4
-0.370	-1.291e-4
-0.371	-1.307e-4
-0.372	-1.323e-4
-0.373	-1.338e-4
-0.374	-1.353e-4
-0.375	-1.368e-4
-0.376	-1.382e-4
-0.377	-1.396e-4
-0.378	-1.410e-4
-0.379	-1.424e-4
-0.380	-1.437e-4
-0.381	-1.449e-4
-0.382	-1.462e-4
-0.383	-1.475e-4
-0.384	-1.486e-4
-0.385	-1.498e-4
-0.386	-1.509e-4
-0.387	-1.519e-4
-0.388	-1.530e-4
-0.389	-1.539e-4
-0.390	-1.549e-4
-0.391	-1.558e-4
-0.392	-1.567e-4
-0.393	-1.575e-4
-0.394	-1.583e-4
-0.395	-1.591e-4
-0.396	-1.598e-4
-0.397	-1.605e-4
-0.398	-1.611e-4
-0.399	-1.617e-4
-0.400	-1.622e-4
-0.401	-1.628e-4
-0.402	-1.633e-4
-0.403	-1.637e-4
-0.404	-1.642e-4
-0.405	-1.645e-4
-0.406	-1.648e-4
-0.407	-1.652e-4
-0.408	-1.655e-4
-0.409	-1.657e-4
-0.410	-1.660e-4
-0.411	-1.661e-4
-0.412	-1.663e-4
-0.413	-1.664e-4
-0.414	-1.665e-4
-0.415	-1.666e-4
-0.416	-1.666e-4
-0.417	-1.666e-4
-0.418	-1.666e-4
-0.419	-1.665e-4
-0.420	-1.664e-4
-0.421	-1.663e-4
-0.422	-1.662e-4
-0.423	-1.660e-4
-0.424	-1.659e-4
-0.425	-1.657e-4
-0.426	-1.655e-4
-0.427	-1.653e-4
-0.428	-1.650e-4
-0.429	-1.648e-4
-0.430	-1.645e-4
-0.431	-1.642e-4
-0.432	-1.639e-4
-0.433	-1.635e-4
