Init E (V) = -0.09
High E (V) = 1.55
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

-0.090	-9.650e-4
-0.091	-9.558e-4
-0.092	-9.447e-4
-0.093	-9.337e-4
-0.094	-9.229e-4
-0.095	-9.121e-4
-0.096	-9.017e-4
-0.097	-8.915e-4
-0.098	-8.817e-4
-0.099	-8.722e-4
-0.100	-8.629e-4
-0.101	-8.540e-4
-0.102	-8.454e-4
-0.103	-8.371e-4
-0.104	-8.288e-4
-0.105	-8.208e-4
-0.106	-8.131e-4
-0.107	-8.054e-4
-0.108	-7.983e-4
-0.109	-7.913e-4
-0.110	-7.842e-4
-0.111	-7.777e-4
-0.112	-7.710e-4
-0.113	-7.648e-4
-0.114	-7.587e-4
-0.115	-7.525e-4
-0.116	-7.470e-4
-0.117	-7.411e-4
-0.118	-7.356e-4
-0.119	-7.301e-4
-0.120	-7.245e-4
-0.121	-7.193e-4
-0.122	-7.144e-4
-0.123	-7.091e-4
-0.124	-7.042e-4
-0.125	-6.996e-4
-0.126	-6.947e-4
-0.127	-6.901e-4
-0.128	-6.858e-4
-0.129	-6.812e-4
-0.130	-6.768e-4
-0.131	-6.725e-4
-0.132	-6.685e-4
-0.133	-6.642e-4
-0.134	-6.602e-4
-0.135	-6.562e-4
-0.136	-6.525e-4
-0.137	-6.485e-4
-0.138	-6.449e-4
-0.139	-6.412e-4
-0.140	-6.375e-4
-0.141	-6.341e-4
-0.142	-6.304e-4
-0.143	-6.270e-4
-0.144	-6.233e-4
-0.145	-6.203e-4
-0.146	-6.169e-4
-0.147	-6.135e-4
-0.148	-6.104e-4
-0.149	-6.073e-4
-0.150	-6.043e-4
-0.151	-6.012e-4
-0.152	-5.981e-4
-0.153	-5.950e-4
-0.154	-5.923e-4
-0.155	-5.895e-4
-0.156	-5.867e-4
-0.157	-5.836e-4
-0.158	-5.812e-4
-0.159	-5.781e-4
-0.160	-5.757e-4
-0.161	-5.729e-4
-0.162	-5.701e-4
-0.163	-5.677e-4
-0.164	-5.652e-4
-0.165	-5.624e-4
-0.166	-5.600e-4
-0.167	-5.575e-4
-0.168	-5.550e-4
-0.169	-5.526e-4
-0.170	-5.501e-4
-0.171	-5.477e-4
-0.172	-5.455e-4
-0.173	-5.430e-4
-0.174	-5.409e-4
-0.175	-5.387e-4
-0.176	-5.363e-4
-0.177	-5.341e-4
-0.178	-5.320e-4
-0.179	-5.298e-4
-0.180	-5.277e-4
-0.181	-5.255e-4
-0.182	-5.237e-4
-0.183	-5.215e-4
-0.184	-5.194e-4
-0.185	-5.175e-4
-0.186	-5.154e-4
-0.187	-5.135e-4
-0.188	-5.114e-4
