Init E (V) = -0.29
High E (V) = 2
Low E (V) = -1
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

-0.290	2.697e-6
-0.291	2.057e-6
-0.292	1.978e-6
-0.293	1.929e-6
-0.294	1.939e-6
-0.295	1.713e-6
-0.296	1.772e-6
-0.297	1.732e-6
-0.298	1.791e-6
-0.299	1.732e-6
-0.300	1.634e-6
-0.301	1.683e-6
-0.302	1.575e-6
-0.303	1.585e-6
-0.304	1.545e-6
-0.305	1.565e-6
-0.306	1.526e-6
-0.307	1.437e-6
-0.308	1.329e-6
-0.309	1.486e-6
-0.310	1.319e-6
-0.311	1.299e-6
-0.312	1.329e-6
-0.313	1.289e-6
-0.314	1.319e-6
-0.315	1.152e-6
-0.316	1.161e-6
-0.317	1.260e-6
-0.318	1.230e-6
-0.319	1.220e-6
-0.320	1.220e-6
-0.321	1.112e-6
-0.322	1.211e-6
-0.323	1.161e-6
-0.324	1.240e-6
-0.325	1.161e-6
-0.326	1.161e-6
-0.327	1.102e-6
-0.328	1.083e-6
-0.329	1.161e-6
-0.330	1.024e-6
-0.331	1.053e-6
-0.332	9.646e-7
-0.333	9.744e-7
-0.334	8.661e-7
-0.335	8.858e-7
-0.336	8.858e-7
-0.337	8.366e-7
-0.338	7.677e-7
-0.339	1.014e-6
-0.340	7.972e-7
-0.341	8.563e-7
-0.342	8.760e-7
-0.343	8.760e-7
-0.344	8.858e-7
-0.345	8.465e-7
-0.346	6.693e-7
-0.347	7.579e-7
-0.348	7.382e-7
-0.349	7.579e-7
-0.350	7.677e-7
-0.351	7.579e-7
-0.352	7.382e-7
-0.353	6.398e-7
-0.354	4.724e-7
-0.355	5.610e-7
-0.356	6.102e-7
-0.357	7.185e-7
-0.358	5.217e-7
-0.359	5.512e-7
-0.360	4.724e-7
-0.361	4.626e-7
-0.362	5.118e-7
-0.363	5.610e-7
-0.364	3.937e-7
-0.365	5.315e-7
-0.366	4.823e-7
-0.367	4.823e-7
-0.368	4.626e-7
-0.369	4.331e-7
-0.370	4.035e-7
-0.371	3.051e-7
-0.372	2.756e-7
-0.373	4.035e-7
-0.374	3.543e-7
-0.375	2.165e-7
-0.376	3.346e-7
-0.377	2.264e-7
-0.378	2.165e-7
-0.379	2.461e-7
-0.380	1.772e-7
-0.381	2.264e-7
-0.382	2.165e-7
