Init E (V) = -0.29
High E (V) = 2.1
Low E (V) = -1.2
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

-0.290	-7.450e-4
-0.291	-7.563e-4
-0.292	-7.630e-4
-0.293	-7.671e-4
-0.294	-7.724e-4
-0.295	-7.762e-4
-0.296	-7.810e-4
-0.297	-7.843e-4
-0.298	-7.888e-4
-0.299	-7.922e-4
-0.300	-7.972e-4
-0.301	-8.003e-4
-0.302	-8.045e-4
-0.303	-8.074e-4
-0.304	-8.113e-4
-0.305	-8.142e-4
-0.306	-8.185e-4
-0.307	-8.216e-4
-0.308	-8.261e-4
-0.309	-8.285e-4
-0.310	-8.328e-4
-0.311	-8.354e-4
-0.312	-8.394e-4
-0.313	-8.421e-4
-0.314	-8.459e-4
-0.315	-8.487e-4
-0.316	-8.529e-4
-0.317	-8.555e-4
-0.318	-8.594e-4
-0.319	-8.619e-4
-0.320	-8.658e-4
-0.321	-8.685e-4
-0.322	-8.724e-4
-0.323	-8.749e-4
-0.324	-8.791e-4
-0.325	-8.814e-4
-0.326	-8.856e-4
-0.327	-8.882e-4
-0.328	-8.918e-4
-0.329	-8.944e-4
-0.330	-8.986e-4
-0.331	-9.010e-4
-0.332	-9.050e-4
-0.333	-9.077e-4
-0.334	-9.116e-4
-0.335	-9.141e-4
-0.336	-9.178e-4
-0.337	-9.205e-4
-0.338	-9.242e-4
-0.339	-9.269e-4
-0.340	-9.311e-4
-0.341	-9.336e-4
-0.342	-9.375e-4
-0.343	-9.400e-4
-0.344	-9.438e-4
-0.345	-9.464e-4
-0.346	-9.502e-4
-0.347	-9.530e-4
-0.348	-9.569e-4
-0.349	-9.594e-4
-0.350	-9.635e-4
-0.351	-9.661e-4
-0.352	-9.703e-4
-0.353	-9.727e-4
-0.354	-9.764e-4
-0.355	-9.791e-4
-0.356	-9.832e-4
-0.357	-9.857e-4
-0.358	-9.897e-4
-0.359	-9.920e-4
-0.360	-9.961e-4
-0.361	-9.987e-4
-0.362	-1.003e-3
-0.363	-1.005e-3
-0.364	-1.010e-3
-0.365	-1.012e-3
-0.366	-1.016e-3
-0.367	-1.019e-3
-0.368	-1.023e-3
-0.369	-1.026e-3
-0.370	-1.030e-3
-0.371	-1.033e-3
-0.372	-1.037e-3
-0.373	-1.039e-3
-0.374	-1.044e-3
-0.375	-1.046e-3
-0.376	-1.050e-3
-0.377	-1.053e-3
-0.378	-1.057e-3
-0.379	-1.060e-3
-0.380	-1.064e-3
-0.381	-1.067e-3
-0.382	-1.071e-3
-0.383	-1.074e-3
-0.384	-1.078e-3
-0.385	-1.081e-3
-0.386	-1.085e-3
-0.387	-1.088e-3
-0.388	-1.092e-3
-0.389	-1.095e-3
-0.390	-1.100e-3
-0.391	-1.102e-3
-0.392	-1.107e-3
-0.393	-1.109e-3
-0.394	-1.114e-3
-0.395	-1.117e-3
-0.396	-1.121e-3
-0.397	-1.124e-3
-0.398	-1.129e-3
-0.399	-1.132e-3
-0.400	-1.136e-3
-0.401	-1.139e-3
-0.402	-1.143e-3
-0.403	-1.147e-3
-0.404	-1.151e-3
-0.405	-1.154e-3
-0.406	-1.158e-3
-0.407	-1.161e-3
-0.408	-1.165e-3
-0.409	-1.169e-3
-0.410	-1.173e-3
-0.411	-1.176e-3
-0.412	-1.180e-3
-0.413	-1.183e-3
-0.414	-1.187e-3
-0.415	-1.190e-3
-0.416	-1.195e-3
-0.417	-1.198e-3
-0.418	-1.203e-3
-0.419	-1.206e-3
-0.420	-1.211e-3
-0.421	-1.214e-3
-0.422	-1.219e-3
-0.423	-1.223e-3
-0.424	-1.227e-3
-0.425	-1.230e-3
-0.426	-1.235e-3
-0.427	-1.239e-3
-0.428	-1.243e-3
-0.429	-1.247e-3
-0.430	-1.251e-3
-0.431	-1.255e-3
-0.432	-1.260e-3
-0.433	-1.263e-3
-0.434	-1.268e-3
-0.435	-1.272e-3
-0.436	-1.277e-3
-0.437	-1.280e-3
-0.438	-1.285e-3
-0.439	-1.289e-3
-0.440	-1.294e-3
-0.441	-1.297e-3
-0.442	-1.302e-3
-0.443	-1.306e-3
-0.444	-1.311e-3
-0.445	-1.315e-3
-0.446	-1.320e-3
-0.447	-1.324e-3
-0.448	-1.329e-3
-0.449	-1.332e-3
-0.450	-1.337e-3
-0.451	-1.342e-3
-0.452	-1.347e-3
-0.453	-1.351e-3
-0.454	-1.356e-3
-0.455	-1.360e-3
-0.456	-1.365e-3
-0.457	-1.369e-3
-0.458	-1.374e-3
-0.459	-1.378e-3
-0.460	-1.383e-3
-0.461	-1.387e-3
-0.462	-1.393e-3
-0.463	-1.397e-3
-0.464	-1.403e-3
-0.465	-1.406e-3
-0.466	-1.412e-3
-0.467	-1.416e-3
-0.468	-1.422e-3
-0.469	-1.426e-3
-0.470	-1.432e-3
-0.471	-1.436e-3
-0.472	-1.442e-3
-0.473	-1.446e-3
-0.474	-1.452e-3
-0.475	-1.456e-3
-0.476	-1.462e-3
-0.477	-1.467e-3
-0.478	-1.473e-3
-0.479	-1.477e-3
-0.480	-1.483e-3
-0.481	-1.488e-3
-0.482	-1.493e-3
-0.483	-1.498e-3
-0.484	-1.504e-3
-0.485	-1.509e-3
-0.486	-1.515e-3
-0.487	-1.520e-3
-0.488	-1.526e-3
-0.489	-1.531e-3
-0.490	-1.537e-3
-0.491	-1.542e-3
-0.492	-1.548e-3
-0.493	-1.553e-3
-0.494	-1.559e-3
-0.495	-1.564e-3
-0.496	-1.571e-3
-0.497	-1.576e-3
-0.498	-1.583e-3
-0.499	-1.588e-3
-0.500	-1.595e-3
-0.501	-1.600e-3
-0.502	-1.607e-3
-0.503	-1.612e-3
-0.504	-1.619e-3
-0.505	-1.624e-3
-0.506	-1.631e-3
-0.507	-1.636e-3
-0.508	-1.643e-3
-0.509	-1.648e-3
-0.510	-1.655e-3
-0.511	-1.661e-3
-0.512	-1.668e-3
-0.513	-1.674e-3
-0.514	-1.681e-3
-0.515	-1.687e-3
-0.516	-1.694e-3
-0.517	-1.699e-3
-0.518	-1.707e-3
-0.519	-1.713e-3
-0.520	-1.720e-3
-0.521	-1.726e-3
-0.522	-1.733e-3
-0.523	-1.739e-3
-0.524	-1.747e-3
-0.525	-1.753e-3
-0.526	-1.760e-3
-0.527	-1.766e-3
-0.528	-1.774e-3
-0.529	-1.780e-3
-0.530	-1.788e-3
-0.531	-1.795e-3
-0.532	-1.802e-3
-0.533	-1.809e-3
-0.534	-1.817e-3
-0.535	-1.823e-3
