Init E (V) = 0
High E (V) = 0.4
Low E (V) = -1
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Potential/V	Current/A

0.000	8.732e-4
-0.001	8.647e-4
-0.002	8.591e-4
-0.003	8.533e-4
-0.004	8.484e-4
-0.005	8.432e-4
-0.006	8.386e-4
-0.007	8.336e-4
-0.008	8.293e-4
-0.009	8.246e-4
-0.010	8.205e-4
-0.011	8.158e-4
-0.012	8.117e-4
-0.013	8.072e-4
-0.014	8.032e-4
-0.015	7.988e-4
-0.016	7.949e-4
-0.017	7.905e-4
-0.018	7.867e-4
-0.019	7.822e-4
-0.020	7.785e-4
-0.021	7.743e-4
-0.022	7.706e-4
-0.023	7.664e-4
-0.024	7.628e-4
-0.025	7.586e-4
-0.026	7.550e-4
-0.027	7.508e-4
-0.028	7.472e-4
-0.029	7.431e-4
-0.030	7.396e-4
-0.031	7.356e-4
-0.032	7.321e-4
-0.033	7.280e-4
-0.034	7.246e-4
-0.035	7.206e-4
-0.036	7.171e-4
-0.037	7.132e-4
-0.038	7.098e-4
-0.039	7.057e-4
-0.040	7.024e-4
-0.041	6.984e-4
-0.042	6.951e-4
-0.043	6.911e-4
-0.044	6.878e-4
-0.045	6.839e-4
-0.046	6.806e-4
-0.047	6.767e-4
-0.048	6.734e-4
-0.049	6.696e-4
-0.050	6.663e-4
-0.051	6.624e-4
-0.052	6.591e-4
-0.053	6.552e-4
-0.054	6.520e-4
-0.055	6.481e-4
-0.056	6.449e-4
-0.057	6.410e-4
-0.058	6.378e-4
-0.059	6.340e-4
-0.060	6.307e-4
-0.061	6.268e-4
-0.062	6.236e-4
-0.063	6.197e-4
-0.064	6.165e-4
-0.065	6.126e-4
-0.066	6.095e-4
-0.067	6.057e-4
-0.068	6.024e-4
-0.069	5.986e-4
-0.070	5.954e-4
-0.071	5.915e-4
-0.072	5.883e-4
-0.073	5.844e-4
-0.074	5.813e-4
-0.075	5.774e-4
-0.076	5.742e-4
-0.077	5.704e-4
-0.078	5.672e-4
-0.079	5.633e-4
-0.080	5.602e-4
-0.081	5.564e-4
-0.082	5.532e-4
-0.083	5.493e-4
-0.084	5.460e-4
-0.085	5.422e-4
-0.086	5.390e-4
-0.087	5.352e-4
-0.088	5.320e-4
-0.089	5.281e-4
-0.090	5.250e-4
-0.091	5.211e-4
-0.092	5.179e-4
-0.093	5.141e-4
-0.094	5.110e-4
-0.095	5.072e-4
-0.096	5.040e-4
-0.097	5.001e-4
-0.098	4.969e-4
-0.099	4.931e-4
-0.100	4.899e-4
-0.101	4.861e-4
-0.102	4.828e-4
-0.103	4.789e-4
-0.104	4.758e-4
-0.105	4.718e-4
-0.106	4.686e-4
-0.107	4.648e-4
-0.108	4.615e-4
-0.109	4.577e-4
-0.110	4.545e-4
-0.111	4.507e-4
-0.112	4.475e-4
-0.113	4.436e-4
-0.114	4.405e-4
-0.115	4.366e-4
-0.116	4.333e-4
-0.117	4.295e-4
-0.118	4.263e-4
-0.119	4.224e-4
-0.120	4.193e-4
-0.121	4.154e-4
-0.122	4.122e-4
-0.123	4.084e-4
-0.124	4.052e-4
-0.125	4.014e-4
-0.126	3.983e-4
-0.127	3.944e-4
-0.128	3.911e-4
-0.129	3.873e-4
-0.130	3.841e-4
-0.131	3.803e-4
-0.132	3.771e-4
-0.133	3.734e-4
-0.134	3.702e-4
-0.135	3.664e-4
-0.136	3.633e-4
-0.137	3.595e-4
-0.138	3.564e-4
-0.139	3.527e-4
-0.140	3.496e-4
-0.141	3.458e-4
-0.142	3.427e-4
-0.143	3.389e-4
-0.144	3.359e-4
-0.145	3.321e-4
-0.146	3.291e-4
-0.147	3.253e-4
-0.148	3.222e-4
-0.149	3.186e-4
-0.150	3.155e-4
-0.151	3.117e-4
-0.152	3.088e-4
-0.153	3.050e-4
-0.154	3.020e-4
-0.155	2.983e-4
-0.156	2.954e-4
-0.157	2.918e-4
-0.158	2.888e-4
-0.159	2.852e-4
-0.160	2.823e-4
-0.161	2.786e-4
-0.162	2.757e-4
-0.163	2.721e-4
-0.164	2.692e-4
-0.165	2.657e-4
-0.166	2.628e-4
-0.167	2.592e-4
-0.168	2.565e-4
-0.169	2.529e-4
-0.170	2.501e-4
-0.171	2.467e-4
-0.172	2.439e-4
-0.173	2.404e-4
-0.174	2.378e-4
-0.175	2.342e-4
-0.176	2.315e-4
-0.177	2.281e-4
-0.178	2.254e-4
-0.179	2.220e-4
-0.180	2.193e-4
-0.181	2.161e-4
-0.182	2.135e-4
-0.183	2.101e-4
-0.184	2.076e-4
-0.185	2.043e-4
-0.186	2.018e-4
-0.187	1.985e-4
-0.188	1.961e-4
-0.189	1.929e-4
-0.190	1.905e-4
-0.191	1.872e-4
-0.192	1.848e-4
-0.193	1.816e-4
-0.194	1.793e-4
-0.195	1.762e-4
-0.196	1.738e-4
-0.197	1.707e-4
-0.198	1.684e-4
-0.199	1.654e-4
-0.200	1.631e-4
-0.201	1.600e-4
-0.202	1.578e-4
-0.203	1.548e-4
-0.204	1.525e-4
-0.205	1.495e-4
-0.206	1.474e-4
-0.207	1.445e-4
-0.208	1.424e-4
-0.209	1.394e-4
-0.210	1.374e-4
-0.211	1.345e-4
-0.212	1.325e-4
-0.213	1.297e-4
-0.214	1.277e-4
-0.215	1.249e-4
-0.216	1.230e-4
-0.217	1.202e-4
-0.218	1.183e-4
-0.219	1.155e-4
-0.220	1.136e-4
-0.221	1.109e-4
-0.222	1.091e-4
-0.223	1.064e-4
-0.224	1.046e-4
-0.225	1.020e-4
-0.226	1.002e-4
-0.227	9.768e-5
-0.228	9.591e-5
-0.229	9.341e-5
-0.230	9.168e-5
-0.231	8.914e-5
-0.232	8.750e-5
-0.233	8.499e-5
-0.234	8.334e-5
-0.235	8.094e-5
-0.236	7.926e-5
-0.237	7.680e-5
-0.238	7.522e-5
-0.239	7.282e-5
-0.240	7.129e-5
-0.241	6.891e-5
-0.242	6.745e-5
-0.243	6.505e-5
-0.244	6.355e-5
-0.245	6.131e-5
-0.246	5.985e-5
-0.247	5.760e-5
-0.248	5.619e-5
-0.249	5.388e-5
-0.250	5.251e-5
-0.251	5.034e-5
-0.252	4.886e-5
-0.253	4.675e-5
-0.254	4.538e-5
-0.255	4.321e-5
-0.256	4.187e-5
-0.257	3.981e-5
-0.258	3.858e-5
-0.259	3.647e-5
-0.260	3.510e-5
-0.261	3.304e-5
-0.262	3.185e-5
-0.263	2.969e-5
-0.264	2.855e-5
-0.265	2.639e-5
-0.266	2.529e-5
-0.267	2.324e-5
-0.268	2.200e-5
-0.269	2.002e-5
-0.270	1.886e-5
-0.271	1.686e-5
-0.272	1.571e-5
-0.273	1.381e-5
-0.274	1.261e-5
-0.275	1.067e-5
-0.276	9.521e-6
-0.277	7.651e-6
-0.278	6.552e-6
-0.279	4.554e-6
-0.280	3.600e-6
-0.281	1.531e-6
-0.282	5.581e-7
-0.283	-1.465e-6
-0.284	-2.513e-6
-0.285	-4.368e-6
-0.286	-5.386e-6
-0.287	-7.340e-6
-0.288	-8.304e-6
-0.289	-1.024e-5
-0.290	-1.112e-5
-0.291	-1.303e-5
-0.292	-1.406e-5
-0.293	-1.586e-5
-0.294	-1.682e-5
-0.295	-1.874e-5
-0.296	-1.960e-5
-0.297	-2.143e-5
-0.298	-2.234e-5
-0.299	-2.418e-5
-0.300	-2.520e-5
-0.301	-2.700e-5
-0.302	-2.791e-5
-0.303	-2.969e-5
-0.304	-3.059e-5
-0.305	-3.246e-5
-0.306	-3.330e-5
-0.307	-3.528e-5
-0.308	-3.615e-5
-0.309	-3.790e-5
-0.310	-3.872e-5
-0.311	-4.070e-5
-0.312	-4.150e-5
-0.313	-4.335e-5
-0.314	-4.419e-5
-0.315	-4.596e-5
-0.316	-4.689e-5
-0.317	-4.863e-5
-0.318	-4.948e-5
-0.319	-5.131e-5
-0.320	-5.219e-5
-0.321	-5.395e-5
-0.322	-5.475e-5
-0.323	-5.658e-5
-0.324	-5.741e-5
-0.325	-5.920e-5
-0.326	-6.009e-5
-0.327	-6.193e-5
-0.328	-6.261e-5
-0.329	-6.450e-5
-0.330	-6.530e-5
-0.331	-6.717e-5
-0.332	-6.792e-5
-0.333	-6.971e-5
-0.334	-7.065e-5
-0.335	-7.237e-5
-0.336	-7.323e-5
