Init E (V) = 0
High E (V) = 2.1
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

0.000	1.755e-3
-0.001	1.718e-3
-0.002	1.687e-3
-0.003	1.656e-3
-0.004	1.628e-3
-0.005	1.601e-3
-0.006	1.576e-3
-0.007	1.548e-3
-0.008	1.527e-3
-0.009	1.502e-3
-0.010	1.481e-3
-0.011	1.459e-3
-0.012	1.441e-3
-0.013	1.423e-3
-0.014	1.404e-3
-0.015	1.386e-3
-0.016	1.368e-3
-0.017	1.351e-3
-0.018	1.334e-3
-0.019	1.318e-3
-0.020	1.303e-3
-0.021	1.288e-3
-0.022	1.274e-3
-0.023	1.259e-3
-0.024	1.245e-3
-0.025	1.232e-3
-0.026	1.219e-3
-0.027	1.206e-3
-0.028	1.193e-3
-0.029	1.181e-3
-0.030	1.169e-3
-0.031	1.158e-3
-0.032	1.146e-3
-0.033	1.135e-3
-0.034	1.125e-3
-0.035	1.114e-3
-0.036	1.103e-3
-0.037	1.093e-3
-0.038	1.083e-3
-0.039	1.073e-3
-0.040	1.064e-3
-0.041	1.054e-3
-0.042	1.045e-3
-0.043	1.036e-3
-0.044	1.027e-3
-0.045	1.018e-3
-0.046	1.009e-3
-0.047	1.001e-3
-0.048	9.924e-4
-0.049	9.841e-4
-0.050	9.761e-4
-0.051	9.681e-4
-0.052	9.601e-4
-0.053	9.524e-4
-0.054	9.444e-4
-0.055	9.370e-4
-0.056	9.293e-4
-0.057	9.219e-4
-0.058	9.146e-4
-0.059	9.072e-4
-0.060	9.001e-4
-0.061	8.930e-4
-0.062	8.860e-4
-0.063	8.792e-4
-0.064	8.721e-4
-0.065	8.654e-4
-0.066	8.586e-4
-0.067	8.518e-4
-0.068	8.454e-4
-0.069	8.386e-4
-0.070	8.321e-4
-0.071	8.257e-4
-0.072	8.195e-4
-0.073	8.131e-4
-0.074	8.069e-4
-0.075	8.005e-4
-0.076	7.943e-4
-0.077	7.882e-4
-0.078	7.820e-4
-0.079	7.758e-4
-0.080	7.697e-4
-0.081	7.639e-4
-0.082	7.580e-4
-0.083	7.519e-4
-0.084	7.460e-4
-0.085	7.402e-4
-0.086	7.343e-4
-0.087	7.285e-4
-0.088	7.226e-4
-0.089	7.168e-4
-0.090	7.113e-4
-0.091	7.054e-4
-0.092	6.996e-4
-0.093	6.940e-4
-0.094	6.885e-4
-0.095	6.827e-4
-0.096	6.771e-4
-0.097	6.716e-4
-0.098	6.664e-4
-0.099	6.605e-4
-0.100	6.550e-4
-0.101	6.497e-4
-0.102	6.442e-4
-0.103	6.387e-4
-0.104	6.331e-4
-0.105	6.276e-4
-0.106	6.224e-4
-0.107	6.168e-4
-0.108	6.116e-4
-0.109	6.061e-4
-0.110	6.008e-4
-0.111	5.956e-4
-0.112	5.901e-4
-0.113	5.848e-4
-0.114	5.796e-4
-0.115	5.741e-4
-0.116	5.688e-4
-0.117	5.636e-4
-0.118	5.584e-4
-0.119	5.532e-4
-0.120	5.479e-4
-0.121	5.427e-4
-0.122	5.375e-4
-0.123	5.322e-4
-0.124	5.270e-4
-0.125	5.221e-4
-0.126	5.169e-4
-0.127	5.116e-4
-0.128	5.067e-4
-0.129	5.015e-4
-0.130	4.966e-4
-0.131	4.913e-4
-0.132	4.861e-4
-0.133	4.812e-4
-0.134	4.763e-4
-0.135	4.710e-4
-0.136	4.661e-4
-0.137	4.609e-4
-0.138	4.560e-4
-0.139	4.510e-4
-0.140	4.461e-4
-0.141	4.409e-4
-0.142	4.360e-4
-0.143	4.311e-4
-0.144	4.261e-4
-0.145	4.212e-4
-0.146	4.163e-4
-0.147	4.117e-4
-0.148	4.068e-4
-0.149	4.018e-4
-0.150	3.969e-4
-0.151	3.923e-4
-0.152	3.874e-4
-0.153	3.828e-4
-0.154	3.778e-4
-0.155	3.732e-4
-0.156	3.686e-4
-0.157	3.637e-4
-0.158	3.591e-4
-0.159	3.548e-4
-0.160	3.502e-4
-0.161	3.455e-4
-0.162	3.409e-4
-0.163	3.366e-4
-0.164	3.320e-4
-0.165	3.277e-4
-0.166	3.231e-4
-0.167	3.188e-4
-0.168	3.145e-4
-0.169	3.102e-4
-0.170	3.056e-4
-0.171	3.016e-4
-0.172	2.973e-4
-0.173	2.930e-4
-0.174	2.890e-4
-0.175	2.846e-4
-0.176	2.806e-4
-0.177	2.763e-4
