Init E (V) = -0.8
High E (V) = 2.1
Low E (V) = 0.45
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Potential/V	Current/A

-0.800	-4.105e-4
-0.799	-3.973e-4
-0.798	-3.862e-4
-0.797	-3.757e-4
-0.796	-3.659e-4
-0.795	-3.563e-4
-0.794	-3.474e-4
-0.793	-3.388e-4
-0.792	-3.308e-4
-0.791	-3.228e-4
-0.790	-3.154e-4
-0.789	-3.081e-4
-0.788	-3.013e-4
-0.787	-2.945e-4
-0.786	-2.884e-4
-0.785	-2.822e-4
-0.784	-2.764e-4
-0.783	-2.705e-4
-0.782	-2.650e-4
-0.781	-2.598e-4
-0.780	-2.545e-4
-0.779	-2.496e-4
-0.778	-2.447e-4
-0.777	-2.401e-4
-0.776	-2.352e-4
-0.775	-2.309e-4
-0.774	-2.266e-4
-0.773	-2.226e-4
-0.772	-2.182e-4
-0.771	-2.142e-4
-0.770	-2.106e-4
-0.769	-2.069e-4
-0.768	-2.032e-4
-0.767	-1.995e-4
-0.766	-1.958e-4
-0.765	-1.924e-4
-0.764	-1.890e-4
-0.763	-1.859e-4
-0.762	-1.829e-4
-0.761	-1.798e-4
-0.760	-1.767e-4
-0.759	-1.740e-4
-0.758	-1.709e-4
-0.757	-1.681e-4
-0.756	-1.650e-4
-0.755	-1.626e-4
-0.754	-1.598e-4
-0.753	-1.570e-4
-0.752	-1.546e-4
-0.751	-1.521e-4
-0.750	-1.497e-4
-0.749	-1.473e-4
-0.748	-1.451e-4
-0.747	-1.428e-4
-0.746	-1.405e-4
-0.745	-1.384e-4
-0.744	-1.362e-4
-0.743	-1.341e-4
-0.742	-1.319e-4
-0.741	-1.299e-4
-0.740	-1.279e-4
-0.739	-1.259e-4
-0.738	-1.239e-4
-0.737	-1.220e-4
-0.736	-1.201e-4
-0.735	-1.183e-4
-0.734	-1.165e-4
-0.733	-1.147e-4
-0.732	-1.129e-4
-0.731	-1.112e-4
-0.730	-1.095e-4
-0.729	-1.079e-4
-0.728	-1.062e-4
-0.727	-1.046e-4
-0.726	-1.031e-4
-0.725	-1.015e-4
-0.724	-9.995e-5
-0.723	-9.844e-5
-0.722	-9.703e-5
-0.721	-9.549e-5
-0.720	-9.407e-5
-0.719	-9.266e-5
-0.718	-9.128e-5
-0.717	-8.983e-5
-0.716	-8.851e-5
-0.715	-8.719e-5
-0.714	-8.592e-5
-0.713	-8.457e-5
-0.712	-8.334e-5
-0.711	-8.208e-5
-0.710	-8.079e-5
-0.709	-7.962e-5
-0.708	-7.839e-5
-0.707	-7.719e-5
-0.706	-7.611e-5
-0.705	-7.491e-5
-0.704	-7.374e-5
-0.703	-7.264e-5
-0.702	-7.153e-5
-0.701	-7.048e-5
-0.700	-6.935e-5
-0.699	-6.827e-5
-0.698	-6.722e-5
-0.697	-6.621e-5
-0.696	-6.519e-5
-0.695	-6.418e-5
-0.694	-6.316e-5
-0.693	-6.221e-5
-0.692	-6.123e-5
-0.691	-6.030e-5
-0.690	-5.938e-5
-0.689	-5.843e-5
-0.688	-5.753e-5
-0.687	-5.667e-5
-0.686	-5.572e-5
-0.685	-5.486e-5
-0.684	-5.397e-5
-0.683	-5.307e-5
-0.682	-5.231e-5
-0.681	-5.138e-5
-0.680	-5.061e-5
-0.679	-4.978e-5
-0.678	-4.895e-5
-0.677	-4.818e-5
-0.676	-4.738e-5
-0.675	-4.665e-5
-0.674	-4.588e-5
-0.673	-4.508e-5
-0.672	-4.434e-5
-0.671	-4.366e-5
-0.670	-4.289e-5
-0.669	-4.219e-5
-0.668	-4.142e-5
-0.667	-4.080e-5
-0.666	-4.006e-5
-0.665	-3.936e-5
-0.664	-3.868e-5
-0.663	-3.800e-5
-0.662	-3.730e-5
-0.661	-3.671e-5
-0.660	-3.597e-5
-0.659	-3.533e-5
-0.658	-3.468e-5
-0.657	-3.407e-5
-0.656	-3.348e-5
-0.655	-3.284e-5
-0.654	-3.222e-5
-0.653	-3.164e-5
-0.652	-3.102e-5
-0.651	-3.047e-5
-0.650	-2.994e-5
